Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2161,0.0,6287.36337599383,159732.2613737171,0.0,0.0,0.0
2162,0.0,5656.227376365465,149623.9547716516,0.0,0.0,0.0
2163,0.0,4940.504184049351,143034.29118262162,0.0,0.0,0.0
2164,0.0,3065.6659165942115,142671.8672189417,0.0,0.0,0.0
2165,0.0,25.575245469639754,140050.87333783324,0.0,0.0,0.0
2166,0.0,0.0,130711.08390054246,0.0,0.0,0.0
2167,0.0,0.0,113956.53940529941,0.0,0.0,0.0
2168,0.0,0.0,107078.32377239334,0.0,0.0,0.0
2169,0.0,8281.630988689118,134901.53864235678,0.0,0.0,0.0
2170,0.0,9967.647587604093,146394.78457236238,0.0,0.0,0.0
2171,0.0,17764.501735305807,157621.06960870553,0.0,0.0,0.0
2172,0.0,16946.62131909385,186162.57134907867,0.0,0.0,0.0
2173,0.0,14694.712436475535,211707.46116742402,0.0,0.0,0.0
2174,0.0,14952.971638249748,197522.21219381975,0.0,0.0,0.0
2175,0.0,16543.878424153052,131044.34824377041,0.0,0.0,0.0
2176,0.0,15342.356838406566,76609.04541848577,0.0,0.0,0.0
2177,0.0,5816.776208120428,36529.99036993729,0.0,0.0,0.0
2178,0.0,0.0,28030.578178148386,0.0,0.0,0.0
2179,0.0,0.0,25110.589959371828,0.0,0.0,0.0
2180,0.0,0.0,22326.056085253625,0.0,0.0,0.0
2181,0.0,0.0,19900.114234935834,0.0,0.0,0.0
2182,0.0,0.0,18031.568241667937,0.0,0.0,0.0
2183,0.0,1581.0571655337753,16153.685324405596,0.0,0.0,0.0
2184,0.0,2022.1931455681306,14690.220750543054,0.0,0.0,0.0
2185,0.0,1292.8413756945502,12800.897901878441,0.0,0.0,0.0
2186,0.0,0.0,8908.03264685371,0.0,0.0,0.0
2187,0.0,0.0,3275.973988259604,0.0,0.0,0.0
2188,0.0,0.0,0.0,0.0,0.0,0.0
2189,0.0,0.0,0.0,0.0,0.0,0.0
2190,0.0,0.0,0.0,0.0,0.0,0.0
2191,0.0,0.0,0.0,0.0,0.0,0.0
2192,0.0,0.0,0.0,0.0,0.0,0.0
2193,0.0,0.0,0.0,0.0,0.0,0.0
2194,0.0,3169.0993591880942,0.0,0.0,0.0,0.0
2195,0.0,9560.836191417793,37359.58197187864,0.0,0.0,0.0
2196,0.0,7022.22178192714,148309.89326116926,0.0,0.0,0.0
2197,0.0,0.0,200944.0207944183,0.0,0.0,0.0
2198,0.0,0.0,183564.60017181275,0.0,0.0,0.0
2199,0.0,0.0,121037.19958620098,0.0,0.0,0.0
2200,0.0,0.0,10541.97950947292,0.0,0.0,0.0
2201,0.0,0.0,21.656715887438054,0.0,0.0,0.0
2202,0.0,0.0,0.0,0.0,0.0,0.0
2203,0.0,0.0,0.0,0.0,0.0,0.0
2204,0.0,0.0,0.0,0.0,0.0,0.0
2205,0.0,0.0,0.0,0.0,0.0,0.0
2206,0.0,0.0,0.0,0.0,0.0,0.0
2207,0.0,0.0,0.0,0.0,0.0,0.0
2208,0.0,0.0,0.0,0.0,0.0,0.0
2209,0.0,0.0,0.0,0.0,0.0,0.0
2210,0.0,0.0,0.0,0.0,0.0,0.0
2211,0.0,0.0,0.0,0.0,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.0
2213,0.0,0.0,0.0,0.0,0.0,0.0
2214,0.0,0.0,0.0,0.0,0.0,0.0
2215,0.0,0.0,0.0,0.0,0.0,0.0
2216,0.0,0.0,0.0,0.0,0.0,0.0
2217,0.0,0.0,0.0,0.0,0.0,0.0
2218,0.0,0.0,0.0,0.0,0.0,0.0
2219,0.0,0.0,0.0,0.0,0.0,0.0
