Time Step,1,2,3
2161,-4904.4191408471215,642.7406732627076,4261.678467584419
2162,-4933.041964922667,723.6061420773852,4209.435822845282
2163,-5225.459039624801,930.4966945274567,4294.962345097342
2164,-5361.042161933363,1097.5887667354082,4263.453395197953
2165,-4688.107020901888,424.6750127078745,4263.432008194013
2166,-4016.958922998544,-583.5597198655269,4600.518642864074
2167,-4759.1681,1223.9082999999996,3535.2598
2168,-5381.488357004424,1970.9336999999882,3410.554657004436
2169,-5146.2608085472475,1122.091252218356,4024.1695563288963
2170,-5160.090295323332,1227.3078890930847,3932.7824062302484
2171,-5750.502420399812,1986.5243999999007,3763.978020399913
2172,-5739.1991335487455,1855.4939000000259,3883.7052335487174
2173,-5933.635041829499,2152.831841829497,3780.8032000000007
2174,-5971.071462344232,2289.645714047618,3681.4257482966113
2175,-5891.403999999987,2132.252399999982,3759.151600000003
2176,-6057.2207400267935,2377.61660195737,3679.6041380694223
2177,-5459.742569306856,1870.2475495236388,3589.4950197832204
2178,-4690.065536625383,1864.9625999999928,2825.102936625389
2179,-4462.535533669387,1706.8093162196822,2755.7262174497073
2180,-4495.785554738882,1798.3095764330749,2697.475978305806
2181,-4824.206440902635,2076.999052765042,2747.207388137593
2182,-4692.4784910932885,1005.1294999999998,3687.3489910932904
2183,-4939.336392743327,428.05945859821725,4511.2769341451085
2184,-4305.947796258188,-232.7214000000002,4538.669196258193
2185,-4298.621489135072,-205.57690000000014,4504.19838913507
2186,-4427.8742,-24.561642246069397,4452.435842246071
2187,-4365.901050482106,358.4339656300025,4007.4670848521
2188,-4429.031408407277,966.5091932869786,3462.5222151202997
2189,-4236.412483499667,1214.1057000000005,3022.306783499668
2190,-3533.8900996264388,1175.5197,2358.3703996264394
2191,-2907.587287253089,1239.9871731168146,1667.6001141362726
2192,-3186.136748467452,1505.0211625996606,1681.1155858677894
2193,-4624.093672645714,2358.41254135494,2265.681131290771
2194,-5897.970486915781,2877.399825117462,3020.5706617983174
2195,-6572.361840210498,3701.949860558941,2870.411979651558
2196,-6261.383000000001,3332.0365999999963,2929.346400000003
2197,-6173.653199999995,3416.7121999999927,2756.941
2198,-6101.7588000000105,3195.2546000000084,2906.5041999999994
2199,-6170.208499999997,2928.744599999997,3241.463900000001
2200,-6361.06844799729,3207.4248479972857,3153.643600000004
2201,-4779.992567806753,2200.8599303206797,2579.132637486071
2202,-3390.788152889731,1454.4005683666821,1936.3875845230455
2203,-1717.7332263501921,701.6302223501912,1016.1030039999998
2204,-1596.3170999999988,644.8675000000028,951.4495999999958
2205,-1388.0655799999993,684.8881463404141,703.1774336595863
2206,-966.3263388791567,878.8381303791562,87.48820849999953
2207,-975.0731441308313,1039.7453571308313,-64.67221300000037
2208,-953.4403678319624,1148.6654303319613,-195.22506250000026
2209,-880.1157215000044,1196.1980000000065,-316.0822784999996
2210,-719.1373283342541,1194.3440208342558,-475.2066924999999
2211,-809.7326556362653,1109.4055000000003,-299.6728443637338
2212,-975.5791431695875,894.8603000000002,80.71884316958705
2213,-2159.31846,623.2351655283709,1536.0832944716292
2214,-3019.0029599999993,371.53949268083704,2647.463467319163
2215,-3391.4790526963125,399.95273413121714,2991.5263185650965
2216,-3798.0074437056546,1042.6834301109175,2755.324013594735
2217,-3836.487276332667,1841.8877788494965,1994.5994974831754
2218,-4023.069486433084,2354.332749217051,1668.7367372160334
2219,-3940.869903734485,2640.6035780883035,1300.266325646182
2220,-3451.233697107407,2499.869659841237,951.3640372661654
2221,-2698.9743719851917,2132.3018874728114,566.672484512381
2222,-2515.881697156757,1831.7228658031022,684.1588313536533
2223,-2385.776060914664,1367.6313719551247,1018.1446889595393
2224,-2459.7377977658853,1387.062043717315,1072.6757540485685
2225,-2727.9578213252894,904.82654368486,1823.1312776404357
2226,-2860.3592970730756,667.385788123849,2192.973508949232
2227,-3031.9636139706013,657.3085574705977,2374.655056499999
2228,-2817.7633800000003,578.4633910567356,2239.299988943263
2229,-2127.1981399999995,550.0923626028654,1577.1057773971374
2230,-1321.59688,722.4964357730637,599.1004442269409
2231,-818.1409200000008,842.3784000000023,-24.237480000003018
2232,-726.0979578105957,927.5414999999991,-201.44354218940825
2233,-689.7095702061139,930.4637999999995,-240.75422979388793
2234,-662.1945198612901,869.5199000000007,-207.32538013871516
2235,-890.5689400000001,792.5659229072506,98.00301709274521
2236,-1492.51278,644.6606578865343,847.8521221134641
2237,-2712.855299999999,463.087834148987,2249.7674658510177
2238,-2652.6920305503704,522.4488347956967,2130.243195754671
2239,-2457.8088295203934,465.2722689734967,1992.5365605468935
2240,-3194.545207074949,949.6274795820309,2244.91772749292
2241,-3137.7470003327817,1016.4980001488204,2121.249000183964
2242,-2835.8903586708175,1595.6530815191222,1240.2372771516991
2243,-2721.898653189838,2189.0353343518973,532.8633188379403
2244,-2613.1776999999965,2213.2408742279304,399.9368257720701
2245,-2694.1416177128654,2296.004137353202,398.1374803596631
2246,-3187.2917386149343,3124.7989880926502,62.49275052227955
2247,-3494.312845616491,3581.7837033384117,-87.47085772191849
2248,-3700.9482614617573,4137.166733829926,-436.21847236816956
2249,-3395.01237421923,2979.0216542192256,415.9907200000015
2250,-2510.00421229931,1284.384105499799,1225.620106799508
2251,-2648.8425599999996,627.2928268297999,2021.5497331701986
2252,-2356.5607600000003,661.8685549610203,1694.6922050389799
2253,-1640.7919295409617,817.3941999999992,823.39772954096
2254,-1787.2277597578166,1078.0089000000003,709.2188597578161
2255,-1773.205200000001,1200.615,572.5902000000033
2256,-1603.9817864661313,1210.8916000000002,393.09018646613544
2257,-1408.7680384554478,1231.4093000000005,177.3587384554458
2258,-1314.0733785344257,1161.1604000000004,152.91297853442796
2259,-1221.6677223631818,988.9763999999997,232.69132236318075
2260,-1201.2100881840038,800.1725000000004,401.0375881840059
2261,-1984.5975599999997,533.3485439042854,1451.249016095714
2262,-2671.7731999999996,729.5323723581557,1942.2408276418446
2263,-3106.431087290064,1331.6804837492361,1774.7506035408237
2264,-3616.550130862792,2856.48536908438,760.0647617784122
2265,-4620.74932140845,5367.072175424095,-746.322854015647
2266,-3972.106669729153,6042.305118796355,-2070.1984490672003
2267,-3817.3313795979657,6344.744755052717,-2527.413375454752
2268,-3755.247096842777,6108.987238953665,-2353.7401421108866
2269,-3622.915050694735,5734.805047313054,-2111.8899966183217
2270,-3421.599000000235,5333.7980000001,-1912.198999999864
2271,-2905.2431999996293,4516.40949999985,-1611.16630000022
2272,-2539.0582491883206,3881.241753697264,-1342.1835045089372
2273,-2505.4007793266514,2619.1721901882897,-113.77141086164181
2274,-2814.8753249956208,1089.5698558934614,1725.305469102162
2275,-2858.3051800000003,431.29065837591565,2427.014521624084
2276,-2301.5197000000007,482.29735626244667,1819.2223437375537
2277,-1598.0582800000004,611.1964804893901,986.8617995106083
2278,-1069.5304702011458,773.4283,296.1021702011449
2279,-910.2092044343815,923.5188000000004,-13.309595565621464
2280,-798.0972252355702,947.8875000000005,-149.79027476443133
2281,-725.7205272037535,929.6836,-203.96307279624935
2282,-691.9897381839995,923.2989000000006,-231.30916181600023
2283,-667.5236822348922,844.2952000000005,-176.77151776510922
2284,-916.0084800000005,745.8288857730632,170.17959422693684
2285,-1921.77398,528.1624910567486,1393.611488943252
2286,-2602.9787,415.29158943265844,2187.687110567343
2287,-3059.3820399124256,885.8951836984025,2173.486856214023
2288,-3163.1998778000648,1294.616545356679,1868.5833324433834
2289,-3163.3533310518533,1604.7642586015725,1558.5890724502804
2290,-3067.7924795582367,1579.9717908591933,1487.820688699041
2291,-2864.2001694891514,1708.3536757893178,1155.8464936998296
2292,-2602.940430232558,1943.6961535188957,659.2442767136633
2293,-2484.7679391106353,2410.539092205169,74.22884690546834
2294,-2499.2696240238106,3025.7359554588907,-526.4663314350747
2295,-2200.6577468185446,2873.9534275880865,-673.2956807695452
2296,-2172.194741507491,2901.6869285885205,-729.4921870810372
2297,-2066.7521043358956,2042.8936286551843,23.858475680710967
2298,-2338.4902893354088,1086.256029380161,1252.2342599552492
2299,-2343.3400859141775,439.70792785032586,1903.6321580638498
2300,-2053.062580000001,486.11932520571474,1566.943254794288
2301,-1539.0670200000004,573.2119536595966,965.8550663404044
2302,-937.879804051419,764.3796,173.5002040514176
2303,-920.8975527493043,947.6556999999999,-26.758147250700006
2304,-899.3528163046233,987.5658999999999,-88.2130836953742
2305,-875.6897532698742,1036.7184000000009,-161.02864673012377
2306,-839.9528846107014,1040.3381000000006,-200.38521538930237
2307,-812.3717180622326,1058.7655,-246.3937819377638
2308,-782.5374051691019,1173.5130000000004,-390.9755948308986
2309,-765.8677943576184,1323.7868999999998,-557.9191056423858
