,Objective Value
112,1853977.5293887905
113,2049634.308806687
114,2230705.1113188765
115,2285032.1337588364
116,2139672.2873123176
117,1968416.0545007489
118,1772077.9175803468
119,1614175.2469684274
120,1560453.8996759467
121,1542608.2770783545
122,1519664.5004328298
123,1554915.05501478
124,1640659.3636599295
125,1913615.005389936
126,2091162.7509113438
127,2145057.0178974643
128,2037072.585331961
129,1954575.902116885
130,1942353.7235609277
131,1860784.1613692015
132,1772568.408959504
133,1716238.320446611
134,1669176.9787565097
135,1612781.2083882187
136,1627437.302700914
137,1823974.2880503915
138,1992570.2058014895
139,2042726.55008497
140,1973492.4945213723
141,1854887.4085599117
142,1657021.9046777105
143,1510851.715352065
144,1475597.9648461184
145,1429860.8949402487
146,1411904.2853950658
147,1380653.6716544155
148,1269929.7989522645
149,1128319.604134512
150,1154800.0607537373
151,1157842.381403004
152,1027078.7145033255
153,877250.1342278046
154,797483.0760622264
155,706014.6305000335
156,567439.5560572902
157,518059.10700079025
158,475521.1376055626
159,508174.02870705153
160,672190.3821251864
161,973780.1791284567
162,1229647.3174597367
163,1364632.221437785
164,1360881.9574154012
165,1299566.5712227602
166,1187000.6792798173
167,1047989.1053469542
168,1001069.3758745616
169,987843.890383036
170,988673.4173691095
171,1039728.9828026459
172,1073691.8758478945
173,1078687.9200357085
174,1157331.453158773
175,1309609.957839011
176,1237322.6787962455
177,1098010.0966665372
178,1025058.8345490647
179,975886.9643092444
180,903799.1900940478
181,884053.0059636283
182,887221.8822650977
183,902934.1100830238
184,996932.5320311917
185,1258047.115940191
186,1508469.2355231352
187,1581918.9403592586
188,1564002.5216277712
189,1497986.3315712083
190,1352428.6214784102
191,1195249.5247109113
192,1130732.101766509
193,1111838.427148337
194,1100341.477185792
195,1113942.9331491087
196,1112938.1090221482
197,1060531.4584017128
198,1051333.5114987171
199,1074801.0300843194
200,917576.901957284
201,761437.1447696036
202,702089.3814618741
203,643509.6523660256
204,510184.6188642589
205,442496.5697184348
206,412654.9265668665
207,482837.5927193899
208,721449.9559522707
209,1103798.3550827093
210,1414812.3863826536
211,1534891.4478318172
212,1560058.124260794
213,1494269.5941967233
214,1366958.6056080945
215,1183098.4413962744
216,1089156.6630360612
217,1015676.1583395175
218,988399.9914773273
219,1003918.9450861161
220,1018203.9567030943
221,1010530.015910117
222,1018313.5600617587
223,1063269.6341526823
224,1055086.3941081355
225,1002691.5496383932
226,1009672.0114699486
227,957775.428737222
228,846819.0418918937
229,790714.6288542802
230,804327.4457105349
231,864025.3546017623
232,1039751.0925261586
233,1324577.093505738
234,1514058.001506576
235,1568759.0630013212
236,1596526.327493241
237,1498912.803780754
238,1293336.518600016
239,1065606.8123133231
240,963926.401426152
241,922128.9686311086
242,924816.2536752453
243,946556.8137416141
244,1057413.1613588016
245,1406957.1425428144
246,1649483.375194763
247,1839503.1684614478
248,1829025.105321416
249,1669974.0373225852
250,1499757.0780530672
251,1316841.3271409795
252,1286828.0017273691
253,1276943.5131559828
254,1314333.9079040054
255,1334310.0475753734
256,1424956.315610583
257,1607061.2240541123
258,1784907.3911851172
259,1876366.7404513098
260,1825224.9026329338
261,1670830.4762965427
262,1488288.0764111225
263,1375540.9487162929
264,1302967.639929394
265,1280680.220917927
266,1264965.0311562496
267,1346242.9249145167
268,1488510.8980267067
269,1796818.628648063
270,1978992.6848325888
271,2004478.327642106
272,1802216.9835209758
273,1580578.9183426488
274,1447640.7957889186
275,1279777.906394311
276,1232230.2894963038
277,1128752.2472463897
278,1097482.041039956
279,1134925.1665349675
280,1305651.6091744204
281,1652181.7111350745
282,1870662.0274039719
283,1907368.4415478464
284,1827271.9120375484
285,1638232.191829134
286,1358442.6564136497
287,1166284.2177569075
288,1099917.3937175036
289,1090348.5395116087
290,1156577.5595353125
291,1243224.9396979767
292,1364033.102508818
293,1688717.720934486
294,1949295.2319948678
295,1987503.0084398035
296,1798158.885438452
297,1679668.2036569167
298,1611575.2682973736
299,1479266.7750902397
300,1419354.8542279226
301,1357489.7327488896
302,1342699.835245137
303,1381708.1190998019
304,1538782.168400758
305,1788115.33459685
306,2056829.4930831837
307,2198792.2668259684
308,2161071.3541229283
309,2022037.9606417275
310,1799474.8246340617
311,1647252.5916425746
312,1586068.2808591553
313,1565341.2504013623
314,1609516.5326426346
315,1623837.0729532582
316,1723963.2289447053
317,1969168.3077612177
318,2165207.5731074014
319,2164569.9362857495
320,1948097.042674322
321,1681424.2616901635
322,1489496.3912622095
323,1358136.3814834747
324,1240830.282045213
325,1140153.9093889645
326,1093421.5799541683
327,1120384.8322597141
328,1320999.0121456976
329,1650173.6171226548
330,1892644.9505416895
331,1986910.750726596
332,1978952.127635864
333,1801648.6090701327
334,1576480.7029487481
335,1435789.620063448
336,1352448.7549979133
337,1348102.3819897892
338,1361885.4519590957
339,1368729.1262862408
340,1369807.7719295528
341,1407434.5094028953
342,1463763.6154524912
343,1511040.4231676834
344,1389457.9741336245
345,1156931.963475198
346,998039.1107891706
347,866710.6908835468
348,791268.1957537441
349,735625.8677334874
350,716171.303754908
351,791323.4653691866
352,1000135.6472383625
353,1295679.7322735963
354,1483093.8717564647
355,1562627.126913651
356,1587025.1647978965
357,1503239.4214720903
358,1340025.3744372334
359,1174386.9205767498
360,1079359.504260427
361,1055384.4066561481
362,1057886.2975842638
363,1078240.4053342734
364,1088417.5618921665
365,1060011.99822664
366,1113088.0328591298
367,1197819.3090260266
368,1145113.6908467263
369,1000698.4897936514
370,950647.9841538679
371,911657.1594068406
372,788099.0436524756
373,714077.7235730086
374,779796.794085275
375,921339.8837916771
376,1135029.8289632262
377,1394823.652519379
378,1525559.9772566142
379,1539638.1540113555
380,1510326.2881137666
381,1494586.029321721
382,1285078.6451102481
383,1181415.149497918
384,1123407.6932094356
385,1109630.0648050809
386,1129913.4601261637
387,1182066.8169704182
388,1407623.416099445
389,1798936.00293734
390,2034607.801019117
391,2088466.175788977
392,1998637.8331505563
393,1858888.9687901987
394,1736751.4794746246
395,1608105.0877887956
396,1535271.7517800662
397,1395721.1963787754
398,1318907.529365233
399,1322050.9246341914
400,1415446.4135558961
401,1656407.2326915932
402,1926703.2094459678
403,2024473.6309183778
404,2039932.4951140017
405,1899160.4081433935
406,1665607.7682154025
407,1567052.0527313654
408,1599630.2361131692
409,1595274.8567916844
410,1655037.6992052812
411,1712114.4061796498
412,1838828.983359583
413,2197259.7852226696
414,2321234.114702751
415,2124965.514026682
416,1779473.0654558325
417,1478477.6744418563
418,1341325.2976147328
419,1240565.6968652545
420,1141190.0033725312
421,1051909.6291466455
422,1077656.7983704214
423,1153626.7746234671
424,1359617.3721100823
425,1656579.416847075
426,1944416.993154161
427,2081090.775786116
428,2055779.238186489
429,1890326.9461541937
430,1639691.5205311272
431,1470429.3035708568
432,1400523.559330531
433,1367218.3386141756
434,1414736.2056302996
435,1486436.4775858175
436,1654164.7969960028
437,2075568.214392143
438,2235949.2773407158
439,2164549.0228543757
440,1873585.1063614092
441,1633950.082918872
442,1502483.7098289733
443,1408258.7963663721
444,1390257.723667111
445,1321017.8863485449
446,1354422.1885806576
447,1425717.9730183727
448,1515311.6955614996
449,1768686.3424134394
450,2011176.3467221886
451,2053758.310383548
452,1997878.684830493
453,1796812.8587589937
454,1548437.611678991
455,1410546.6613334003
456,1335357.6260462143
457,1284629.6480596964
458,1361093.4069742297
459,1422411.0271696951
460,1524799.2788218816
461,1924242.5071665687
462,2183376.513787921
463,2171339.0734436037
464,1851708.6292681159
465,1582471.8253623163
466,1476250.828776791
467,1327245.2559381863
468,1226017.668048596
469,1129396.9938758176
470,1139909.0238825441
471,1189109.0988032918
472,1380539.8494313983
473,1729999.819855029
474,2029606.713097919
475,2109771.358711335
476,2143452.621324618
477,1957342.1073291784
478,1708421.5237862687
479,1610141.8720901054
480,1528462.8808212862
481,1515537.0639374217
482,1542049.4671352415
483,1591340.8835273597
484,1688442.120208347
485,1990389.6018499546
486,2109963.674910382
487,2023121.3005971527
488,1626993.8701094282
489,1329025.3615802997
490,1207847.8479470778
491,1078670.095118656
492,988266.4979036892
493,904544.2283731737
494,904374.758738165
495,975681.6700371918
496,1149269.651665237
497,1441004.5582296608
498,1738290.3665128802
499,1858479.2388462867
500,1879421.1753190714
501,1763528.8591145892
502,1476522.8631962317
503,1297331.51134847
504,1251098.9806180156
505,1240043.5005497476
506,1248995.3494373027
507,1258273.9076147103
508,1241395.9763480476
509,1283735.8444411934
510,1388262.4836659983
511,1442829.916318894
512,1315621.3243495112
513,1149209.4624896205
514,1070185.0917889522
515,1026495.2229222835
516,939055.2630670101
