,Objective Value
130,1941610.8515536978
131,1864293.3416354158
132,1776161.228412806
133,1718595.5274172127
134,1669509.8415443583
135,1613285.0624609566
136,1627695.9536513498
137,1825812.114025807
138,1994904.8722118651
139,2038152.0840208174
140,1974222.630638816
141,1856674.1570449423
142,1657573.4309554906
143,1511009.6962285484
144,1475596.292612191
145,1429858.7057410884
146,1411902.6749987728
147,1380653.6716544155
148,1269929.7989522645
149,1128352.77590742
150,1154800.0607537376
151,1157939.4892233498
152,1027576.7269585864
153,877592.1389848541
154,793875.8844848289
155,693249.8688700504
156,555740.7522056773
157,501408.37695271854
158,452984.94796999014
159,507927.21237544715
160,672190.6773629987
161,975261.7836842646
162,1229722.441657858
163,1364352.780529043
164,1361132.9170041361
165,1299928.0494580618
166,1187296.4977535978
167,1048364.3222520022
168,1001146.9063371596
169,988029.7423191358
170,988907.4062146429
171,1039983.097491101
172,1073849.8795319346
173,1078786.9469785274
174,1157331.453158773
175,1309609.9578390112
176,1237477.289088268
177,1098599.5381597788
178,1025975.8994515772
179,974284.9122602547
180,903290.4818608612
181,886099.3864562596
182,889601.6306593464
183,905175.344460676
184,998440.5652158733
185,1258069.7848529394
186,1508534.7179272661
187,1579920.062249706
188,1563941.529105621
189,1497963.1645894356
190,1352395.5750567662
191,1195294.8960634244
192,1130731.853070105
193,1111838.427148337
194,1100341.477185792
195,1113942.9331491084
196,1112938.1090221482
197,1060280.0822585325
198,1051165.7500118213
199,1075460.7709613345
200,917807.5435718076
201,764222.5224918053
202,702089.3814618741
203,643612.537895321
204,524731.8341331563
205,451536.60124400223
206,417483.781232877
207,482760.6398759277
208,713420.5619851096
209,1103908.591041222
210,1414989.2409014716
211,1534891.4478318174
212,1560058.124260794
213,1494269.5941967233
214,1366987.5536226688
215,1183040.5342377864
216,1089075.6396223041
217,1015675.9489759558
218,988463.0283319438
219,1003983.0489485238
220,1018268.2199991395
221,1010592.2026254374
222,1018375.7259964476
223,1063312.808917124
224,1058034.7136427767
225,1005815.0777782497
226,1009886.3527029613
227,959284.9843184088
228,847629.682506537
229,791085.7230664989
230,804425.5931102077
231,864025.3546017623
232,1045193.5944063241
233,1325401.4227289918
234,1514057.4819673407
235,1568723.957628006
236,1596474.1739571781
237,1498910.610206598
238,1293337.8639493822
239,1065523.1393901536
240,963990.4139049776
241,922176.20654651
242,924871.789225043
243,946623.5922166514
244,1057449.7476680928
245,1406957.1425428144
246,1649403.5594837037
247,1839240.2849192512
248,1828789.600656404
249,1669840.4806417488
250,1499971.0129410967
251,1316954.9960330913
252,1286673.466045913
253,1279366.5232761372
254,1311190.326208403
255,1334371.7543394668
256,1424871.5844895078
257,1606486.7359607422
258,1788158.2945922716
259,1879935.0733363116
260,1830373.7336374936
261,1675126.9829118224
262,1490786.0773288887
263,1377425.853458637
264,1305176.83151461
265,1282824.9088647824
266,1266976.794336758
267,1347606.0455407347
268,1488845.372306621
269,1788995.7338634839
270,1968138.468234342
271,1999249.4221794487
272,1802249.8477427114
273,1580743.401508671
274,1443698.567675602
275,1283678.0341824444
276,1238868.028183638
277,1145800.5546179644
278,1112841.9662117963
279,1139733.951071646
280,1303039.709236545
281,1651687.201764404
282,1870586.213532546
283,1907211.872558675
284,1827033.2244381425
285,1638377.2281345304
286,1345235.5566223064
287,1164374.711905301
288,1093723.856409638
289,1091022.9392028158
290,1154756.0564329687
291,1255153.1375011909
292,1361114.2863188626
293,1689107.505448468
294,1934820.6997697216
295,1980601.7934854713
296,1798322.8246091695
297,1679508.8212381646
298,1610663.6037609426
299,1478906.9864716777
300,1419081.526787721
301,1357123.3593325706
302,1342441.2458430273
303,1381466.007706961
304,1542838.6781328437
305,1788429.2186850782
306,2055202.2816528275
307,2186598.4796934193
308,2157652.7360200207
309,2026018.7819023514
310,1801477.3069457721
311,1647795.1542476336
312,1586183.1432429906
313,1565373.677017986
314,1609530.08976034
315,1623851.3959070528
316,1722496.4340620663
317,1960753.4695395713
318,2152478.0578256813
319,2160346.7377558784
320,1947712.6982576908
321,1684703.4839932832
322,1489142.5083330807
323,1361389.5817986748
324,1251489.317466267
325,1144256.887140132
326,1092042.3451307577
327,1116195.503451722
328,1319933.756204036
329,1650660.7384170108
330,1892658.9439870124
331,1987009.3306558025
332,1980047.4878114988
333,1804419.7880914046
334,1577871.596601194
335,1436338.105442385
336,1352730.3156453879
337,1348486.8661981842
338,1362243.2696278186
339,1369074.742134271
340,1370162.1515133444
341,1407774.2266244213
342,1463860.3680738737
343,1511087.93510245
344,1388392.3975801207
345,1157007.4637281233
346,969379.1022926233
347,873591.6845631253
348,789274.1131350866
349,731269.9759777284
350,715228.2705309044
351,775310.9837204388
352,973741.4995278161
353,1295751.545241814
354,1485036.6376932915
355,1563407.2778380497
356,1587539.988311107
357,1503716.3659359585
358,1340977.2051945014
359,1175540.9885965926
360,1080951.9212312559
361,1055700.5478061535
362,1058127.086641917
363,1078784.0448451503
364,1088458.5563367314
365,1059895.5213424384
366,1113059.4769729022
367,1198539.2224125282
368,1145242.91669895
369,1003316.6205097301
370,950647.9841538679
371,911656.8207307219
372,795388.9160008456
373,719785.9819894851
374,779728.2681140534
375,921340.1246527308
376,1135124.9735681852
377,1394752.9782155664
378,1525496.6676563858
379,1539578.9264520074
380,1510298.7476080551
381,1494560.7893446907
382,1285302.5851514456
383,1181347.283062347
384,1123348.2497532966
385,1109573.2760825616
386,1129868.62545843
387,1182067.7225619713
388,1407620.5291283878
389,1798541.9554622492
390,2034675.258976799
391,2088385.4946064714
392,1998474.8196368907
393,1859017.5800617472
394,1736380.3647848885
395,1606351.4072157724
396,1531254.0133708601
397,1394645.6523695984
398,1315901.406749303
399,1319847.282914853
400,1415111.524635827
401,1655897.6158913057
402,1926523.4459090983
403,2023875.852700599
404,2039887.881993537
405,1899271.605964496
406,1665711.6130817612
407,1567184.18710325
408,1599583.5238857178
409,1595245.8282477846
410,1654930.8392255912
411,1711977.0963185185
412,1838650.1746299483
413,2184782.100869919
414,2316062.4499531365
415,2127726.242009521
416,1779591.9799759288
417,1479538.336685401
418,1344337.5989536892
419,1245034.278672532
420,1158741.3458949518
421,1081099.466953532
422,1085223.695375807
423,1153822.0667392968
424,1362341.1308011296
425,1656210.751750488
426,1944155.7214784448
427,2081076.2494977945
428,2055864.373505874
429,1890541.2557683217
430,1639944.046917347
431,1470582.6979158774
432,1400521.407541222
433,1367216.3883024626
434,1414733.9967120045
435,1486411.9778261902
436,1654085.7524231547
437,2061889.3627429751
438,2230493.6120358673
439,2166318.2880877303
440,1874549.5042414737
441,1637080.4364916577
442,1504200.6805683144
443,1413065.5505116794
444,1399293.20691971
445,1327295.4460349414
446,1358386.946909863
447,1426443.2373553908
448,1517476.1182435844
449,1768164.2618208241
450,2012540.6637686552
451,2055121.8104264052
452,1999262.0136881869
453,1797185.9235168933
454,1548789.2194183972
455,1410544.305498481
456,1335357.1340840228
457,1284629.6480596964
458,1361093.4069742297
459,1422412.2028356995
460,1524810.1623275757
461,1916313.3316211961
462,2164924.409937501
463,2164775.076847584
464,1852040.8303332431
465,1583354.5386509928
466,1476303.7296495857
467,1326569.2817518744
468,1229281.1553279625
469,1140133.164399762
470,1144697.488029107
471,1187475.0948223665
472,1375704.6469239255
473,1729060.099437038
474,2028434.01039504
475,2109069.4564780137
476,2141430.915531972
477,1957863.9284684593
478,1708913.5943110534
479,1610153.8401624556
480,1528404.1561195885
481,1515486.7507692454
482,1542011.5866601963
483,1591318.4094911078
484,1688445.8994564202
485,1976661.9537571543
486,2099825.014782046
487,2023267.0711375729
488,1627756.110235316
489,1327124.5040859869
490,1181136.0344314163
491,1057044.642586442
492,993730.0041635387
493,907208.3236818197
494,904262.5687303821
495,952131.02035745
496,1132100.932826174
497,1436703.3095244162
498,1738179.150143371
499,1858556.9617219213
500,1879510.73821093
501,1763774.5389294906
502,1477229.2017827483
503,1297803.97895642
504,1251098.1594334627
505,1240037.634569984
506,1248995.349437303
507,1258273.90761471
508,1241395.9763480476
509,1283735.8444411936
510,1388262.2767450395
511,1442827.360876615
512,1313235.8730125243
513,1150046.1894811413
514,1071029.899593306
515,1027391.6212792117
516,939386.9775604088
517,853577.6583964301
518,855776.263801069
519,920413.7562162789
520,1137746.3661646657
521,1454105.4492382202
522,1692377.316694774
523,1714338.260594533
524,1730059.5195048
525,1641798.284469303
526,1453006.5127902068
527,1272719.790068157
528,1159264.8565246018
529,1127524.444726524
530,1107998.4501408918
531,1100886.8078776507
532,1095170.089734703
533,1041313.5066342843
534,1075853.6766979008
535,1114522.011854629
536,1072669.345022229
537,967902.4431141787
538,810836.501173503
539,680533.1637017063
540,603410.4306646823
541,533060.5761336822
542,541501.2050163872
543,632099.0182836538
544,866679.3646049241
545,1276036.4473497972
546,1544433.6955486892
547,1607311.0612489856
548,1661692.7029947778
549,1630448.504300924
550,1457342.248348049
551,1323496.611222176
552,1266744.2946120042
553,1259591.1907811505
554,1294905.8001494014
555,1383456.3710178095
556,1597143.8135884497
557,1990135.7372467248
558,2230245.7118430245
559,2190450.5443211165
560,1926726.229815086
561,1719489.1711956724
562,1576624.515513351
563,1467020.2860846363
564,1370546.7234038182
565,1304376.1834742548
566,1341388.6933193714
567,1448047.384990761
568,1671557.7404921243
569,1974742.8800474103
570,2172008.078734623
571,2232168.783566828
572,2168563.7711212
573,1964568.7454297924
574,1669173.5812240501
575,1462351.593189292
576,1361274.7168983803
577,1318536.9739374337
578,1334038.263465198
579,1406021.5477584798
580,1581285.4557988052
581,1969897.5369952826
582,2177202.1162769133
583,2213734.973977114
584,2042725.9168125987
585,1963312.7415370424
586,1902026.2720145164
587,1827997.151779185
588,1754471.2268779338
589,1710641.6166941666
590,1747964.0752685436
591,1788166.6146045057
592,1838397.50667441
593,1958475.9627144528
594,2131527.1673739157
595,2169681.1093789223
596,2178018.075055615
597,1946770.039244702
598,1636918.876347329
599,1402370.0234734924
600,1319010.0376175446
601,1337893.1030697536
602,1408680.3022065088
603,1539241.6590186548
604,1725460.1219732289
605,2063997.6248724991
606,2253602.7597560207
607,2145769.607816968
608,1935619.8494354335
609,1750437.855031861
610,1652029.2301807993
611,1611032.8170515404
612,1609467.0195143113
613,1628228.3493590544
614,1706613.398146153
615,1741877.1067806485
616,1817340.0937115827
617,1946261.4912310448
618,2021966.3182256678
619,2023179.793572212
620,1969057.351934224
621,1787428.9163015762
622,1537987.1953347693
623,1350945.3903335892
624,1222565.0977770935
625,1159872.8793042554
626,1153470.044101881
627,1154128.049358791
628,1303947.0653502962
629,1714675.1155882382
630,1907193.3049841374
631,1924095.415119113
632,1737784.1305564402
633,1591844.9890334466
634,1467560.1679498905
