Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,3346.513895328158,0.0,0.0,0.0,0.0
12,0.0,9746.332904216575,0.0,0.0,0.0,0.0
13,0.0,12118.422209961587,0.0,0.0,0.0,0.0
14,0.0,3649.6481165808136,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,5494.674998935878,0.0,0.0,0.0
19,0.0,2868.6661061747855,14878.324079155595,0.0,0.0,0.0
20,0.0,7292.024923797126,27031.24959113263,0.0,0.0,0.0
21,0.0,9552.617113454711,58728.17649992453,0.0,0.0,0.0
22,0.0,11869.77554114002,93236.47095941915,0.0,0.0,0.0
23,0.0,16372.243950183167,130260.6747515058,0.0,0.0,0.0
24,0.0,18442.090723070298,156014.15979267412,0.0,0.0,0.0
25,0.0,17724.83051448171,172272.3814735702,0.0,0.0,0.0
26,0.0,17487.55708582424,190301.98174596723,0.0,0.0,0.0
27,0.0,17589.061442415583,201671.0013932952,0.0,0.0,0.0
28,0.0,17077.740189010325,207683.03427133302,0.0,0.0,0.0
29,0.0,14888.335474539894,203719.09275199132,0.0,0.0,0.0
30,0.0,9017.53817387951,187633.1326504708,0.0,0.0,0.0
31,0.0,5131.7078306571775,177194.68338023286,0.0,0.0,0.0
32,0.0,242.314671864425,167014.51445704635,0.0,0.0,0.0
33,0.0,0.0,152752.7235944732,0.0,0.0,0.0
34,0.0,0.0,134398.53689299535,0.0,0.0,0.0
35,0.0,0.0,120213.51090106215,0.0,0.0,0.0
36,0.0,0.0,104512.45531111979,0.0,0.0,0.0
37,0.0,0.0,85960.656264652,0.0,0.0,0.0
38,0.0,0.0,71833.96034463056,0.0,0.0,0.0
39,0.0,0.0,64880.659109608125,0.0,0.0,0.0
40,0.0,0.0,68259.6376322013,0.0,0.0,0.0
41,0.0,0.0,68309.0163017052,0.0,0.0,0.0
42,0.0,0.0,64301.97426659672,0.0,0.0,0.0
43,0.0,0.0,60928.81631525106,0.0,0.0,0.0
44,0.0,0.0,56920.45696567152,0.0,0.0,0.0
45,0.0,0.0,55340.33885687913,0.0,0.0,0.0
