Time Step,Objective
187,1511979.581233891
188,1390234.8438137402
189,1334981.1442997819
190,1296218.341996894
191,1125380.3186716372
192,997956.2483763008
193,909669.0891353028
194,885136.0120352795
195,919323.7891316687
196,958801.6509273476
197,1091986.0549826545
198,1484611.6045174892
199,1752567.788595443
200,1850515.2313929556
201,1809316.6486052403
202,1787060.7417430012
203,1812318.0630409655
204,1792044.0205728582
205,1802883.4026214143
206,1784303.2617880162
207,1815911.1648333098
208,1838660.226635233
209,1942128.42925633
210,1918126.9924006676
211,1826271.0791110008
212,1684422.4275673581
213,1536698.955783167
214,1341259.5301713678
215,1099436.3988193106
216,903618.9715609233
217,825080.945495508
218,820738.3524341398
219,864018.8582349434
220,963696.3605930412
221,1133915.2374939208
222,1569622.6663822215
223,1891957.6026203402
224,2018610.0887291627
225,1984496.1488602716
226,1921340.1618530697
227,1864553.3666954725
228,1800485.2902340246
229,1822458.916948373
230,1860835.926856352
231,1884503.3568310721
232,1931789.903841805
233,2068874.666536918
234,2070678.084267373
235,1967233.8026550952
236,1793927.2109584035
237,1696740.6313831804
238,1561508.0698847172
239,1285249.3549887796
240,1083692.4569445609
241,993863.9894595501
242,971211.969439419
243,978277.3482938296
244,1024797.4085944593
245,1132117.9246658077
246,1470674.568247178
247,1734107.2610083537
248,1822778.7618335495
249,1724437.4407907648
250,1620212.1946960138
251,1535779.3081691293
252,1429394.9743280187
253,1458630.0793033543
254,1444214.2133344747
255,1549504.9695525672
256,1703834.5862478144
257,1852279.4013591295
258,1819383.7209769932
259,1736200.1850493017
260,1567363.5706377302
261,1509304.458778567
262,1279656.060719377
263,1013936.1427612582
264,832170.1815715276
265,770476.9123608904
266,757583.2238342665
267,786084.9329097786
268,821032.1866571063
269,900646.1888278243
270,1240525.689053885
271,1537854.9926660068
272,1625806.9598733324
273,1513836.1063039694
274,1443934.6166333398
275,1409703.365370775
276,1382888.1584360504
277,1424530.221663995
278,1436715.9742008648
279,1497980.3038154398
280,1643475.3733859337
281,1840737.356296351
282,1873870.572009213
283,1805003.7891126992
284,1702346.9272064646
285,1656560.8391609453
286,1535300.5700405529
287,1309808.5829672941
288,1121887.1088916995
289,1040211.9278268139
290,1011345.767632114
291,1051506.1281113918
292,1109410.3774127977
293,1181556.3076609403
294,1529029.2588953762
295,1770499.474075182
296,1848023.1198962522
297,1758909.7935171542
298,1672226.1377666283
299,1651548.7334662655
300,1640219.8866991224
301,1636130.9180621842
302,1618480.3662609581
303,1698450.0700195993
304,1794796.5921533306
305,2037831.60896076
306,2062410.900768059
307,1967282.6219967764
308,1787493.7301125815
309,1640498.2272644618
310,1563578.861748725
311,1333991.373735519
312,1143777.0125091153
313,1076758.6851697695
314,1032626.7642386056
315,1036761.8957543081
316,1037835.403709372
317,1014327.1129558751
318,1042133.1745011131
319,1160627.0666810148
320,1291889.492209085
321,1381611.3035254725
322,1368722.0281932247
323,1314697.47300599
324,1222482.7305934795
325,1150819.5876185112
326,1166904.6872451613
327,1335172.6270876327
328,1518999.9785498786
329,1795541.3429230321
330,1834279.9811547264
331,1743364.6416254567
332,1551959.9918752017
333,1450565.1366984386
334,1429609.1787826633
335,1241590.2973204204
336,1067858.758207074
337,966641.0028166914
338,959022.6728661756
339,932503.3247005116
340,941078.2806248007
341,973266.7762463894
342,970388.20849192
343,1032150.8193328978
344,1118823.226474773
345,1169243.0918188465
346,1155371.2324524086
347,1154101.5931281762
348,1134506.4886415515
349,1076845.3832141887
350,1114006.0648175606
351,1173891.1009248756
352,1280908.1094470555
353,1523127.015909834
354,1583552.9142978152
355,1528118.12502295
356,1420190.9065793846
357,1376990.0676339946
358,1362479.8869757769
359,1192951.4461681198
360,1083098.062460667
361,1043266.6257553342
362,1018445.8551730133
363,1046147.7936139039
364,1098540.4414492864
365,1234659.6095860752
366,1683489.1712126608
367,2034690.660744424
368,2143950.4183331463
369,2050467.2733339556
370,1914611.498019671
371,1839664.3979367057
372,1885781.6749774388
373,1891016.5480560577
374,2010320.0348421682
375,2249029.27083852
376,2468298.3417773265
377,2767392.12806801
378,2780439.0215026527
379,2693244.1560574574
380,2522251.6727395756
381,2448101.184714886
382,2255998.010393629
383,1981320.5367561297
384,1863554.6119982942
385,1769827.1976689543
386,1712792.7520662197
387,1695637.17063469
388,1721382.275183739
389,1835791.5002793607
390,2247916.9322031643
391,2538846.362384381
392,2615701.4100777428
393,2355400.873430185
394,2050429.0001043691
395,1914898.877781815
396,1770627.905997596
397,1721560.223638154
