Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
65,383458.9510135576,125655.0,79252.20603837198,503954.377920007,404834.02770905534,262826.8028734231
66,381921.1787180193,125655.0,75539.6384717391,468834.35779987264,367831.3956370568,255137.79127743814
67,374169.51102925977,125655.0,46751.213076461165,408370.2558994645,311981.23373019113,235127.97925035708
68,366733.7637892281,125655.0,16030.982486193376,350622.8168498737,267720.80682900065,217900.92943242757
69,337049.7414124872,125655.0,15600.99204323808,308859.4851874783,247662.75113938315,207593.36526200094
70,293552.0621304677,125655.0,14969.577997478873,258282.0156329566,226484.98902188422,194442.11414202093
71,186159.68981723193,125655.0,30106.428727931205,190097.60003526128,184310.0,160706.11673239165
72,174064.0,95757.72222742329,14085.867753063629,135689.0230800142,154990.5516014798,139001.72426813448
73,167453.46252334514,76996.0,19126.9966526422,110790.28411078572,139839.59519847928,126590.1007630878
74,161060.14431188043,76996.0,19050.246471137805,97568.33549355253,136809.32386343917,122602.13165445515
75,167922.94573264528,76996.0,19470.479121558004,97972.2682736425,141494.40635117074,123837.36583253722
76,174064.0,80443.376711021,18770.835881312127,97127.94436950315,148061.1455376731,127254.54871044215
77,174064.0,98940.59172409012,14038.959289246704,132818.19269972737,162864.08424633113,133657.27187325156
78,262107.71463794392,99680.51926335352,14270.266777924207,202124.21679616207,192462.38271794538,159610.90010571503
79,323654.7932621478,125655.0,14461.344660054627,259586.16764878324,271027.4923390001,198873.91303702982
80,394463.353966959,125655.0,14803.461128812103,300685.59350672376,311205.91619396064,224819.86088876688
81,395100.36859721097,125655.0,19434.871451487244,251934.68646055515,322473.5824814857,228452.83708101333
82,315915.5903100011,125655.0,16074.0,182123.44754576092,333794.2219501703,236597.04268994345
83,292901.83951668505,122108.95125725598,16074.0,125139.32221559828,342836.95025032747,240998.27891009842
84,289542.78519358474,94391.42831075052,16074.0,114952.97418775609,340579.97108866164,242108.36469768645
85,295305.9287525351,82574.11635370189,16074.0,145015.55320845812,350107.8726583969,245713.39580521273
86,293578.96879641776,91787.22246871369,16074.0,172879.79786286573,363723.55387333175,241889.89719238132
87,314791.4292737166,125655.0,16074.0,241023.16414230567,392536.90874805336,243242.23694098048
88,398012.52217800927,125655.0,56048.108128899934,294748.17570459645,399668.95570353797,242977.85437304186
89,398795.34659491014,125655.0,136993.18097334332,333327.73769203934,436250.3019181109,263842.8871562509
90,397066.2983187466,125655.0,164706.02067038888,338453.0835314381,437861.7340099662,265529.50056417234
91,398342.1029945023,125655.0,138827.1248107809,323113.37253162195,395948.4600929496,243867.01291436813
92,393617.07303428237,125655.0,111918.555190059,304722.81480678194,351360.32077460235,220273.7420154378
93,391115.8680770229,125655.0,98340.62043895792,290495.3287062057,324257.23525604414,208921.9849957923
94,385378.28756973345,125655.0,63045.24706597346,267900.0799048774,289440.1337006708,190002.68263882515
95,319121.643230106,125655.0,16074.0,206028.06128579954,225073.78503839867,165600.0
96,248553.7898033159,125655.0,16074.0,168695.6982242362,187778.22416760246,154104.2382080023
97,174064.0,125655.0,51223.06735008442,141460.78092744853,178342.53439712242,143429.7628373321
98,174064.0,125655.0,38708.72320263913,132236.9625359275,171310.7209845674,140216.93103768976
99,174064.0,125655.0,32176.09596764927,136582.95498882735,167946.0471623791,140171.4577920587
100,174064.0,125655.0,36312.222558475405,147421.56160437912,172592.32841366317,146764.8697328555
101,174064.0,125655.0,49296.248879462226,141472.24386846815,183676.2560390588,157307.08282995535
102,316059.691665189,125655.0,16074.0,177457.6286131327,233435.6833608909,196679.02687177574
103,391086.45276620757,125655.0,50126.93974260737,211516.80420836856,305595.9722973545,251417.89956342033
104,397100.9472252029,125655.0,122331.4896025318,218325.22382715097,358852.17499119043,289392.0870616466
105,396694.3742755656,125655.0,128392.39042440776,144831.2490754882,366051.87573630235,297439.56900645973
106,359530.8515986446,125655.0,100095.22071216052,85245.58479664891,383077.0816048056,310831.95841968944
107,327718.60511131084,120236.40972166994,101178.08877671273,66441.58938012584,399337.5029090957,319914.4666608679
108,328305.98624803073,99426.95101390008,109644.00919712636,64140.39912931033,395381.16172203334,319411.4191340258
109,327704.4803585838,102405.9687860612,131897.3781787301,74349.41211612233,405375.31326327915,320020.3074434246
110,332590.28039442725,125655.0,144512.8864093871,96947.30308477333,409119.8734089837,313002.62311387935
111,366203.58710356924,125655.0,203513.71807359962,173731.70895564428,406883.0213696224,308144.9665377602
112,385255.9398778033,125655.0,257375.3011247962,302514.48055176577,427257.5816413978,373278.5222641621
113,468094.6908944523,125655.0,300932.0,412928.2439455507,474713.2590386766,410848.69391638355
114,471344.8047811393,125655.0,300932.0,445240.3949638162,470001.95698944986,416341.6623242831
115,416289.3090890694,125655.0,300932.0,443089.14955903153,439215.67352557695,403126.6335807075
116,397579.7740125504,125655.0,270024.70191989426,430924.7782754872,403714.0007502318,387274.78447504994
117,394007.9945845924,125655.0,233822.2739961803,406363.27597613714,370509.5358912499,372894.7305869982
118,390720.91228991805,125655.0,203946.46427996276,375082.6642473193,342892.2898129651,362304.0593999453
119,369872.1829309376,125655.0,153909.78474127463,301017.39656819566,290590.02053711633,331326.706470917
