Time Step,1,2,3
2161,-4869.2305,423.3175000000022,4445.913
2162,-4954.809,417.15399999999386,4537.655
2163,-4969.3706,464.00460000000135,4505.366
2164,-4988.218056699902,481.2673566999043,4506.9507
2165,-5016.438,511.3889999999968,4505.049
2166,-4755.786919999991,430.94092,4324.846
2167,-4882.719,891.7043999999938,3991.0146
2168,-5064.899,1325.838999999995,3739.06
2169,-5418.2188,1726.8724000000104,3691.3464
2170,-5500.9316,1894.8151,3606.116499999972
2171,-5621.602,2053.1208000000033,3568.4812
2172,-5945.293084837129,2266.074284837127,3679.2188
2173,-5951.014349201473,2185.5512492014764,3765.4631
2174,-5971.07146234423,2289.645714047621,3681.4257482966086
2175,-5891.404163093851,2132.252386837773,3759.1517762560657
2176,-5390.397080817571,1853.7665,3536.630580817561
2177,-5148.4023,1408.212800000004,3740.1895
2178,-4841.477,1300.6317999999944,3540.8452
2179,-4619.0406879447755,1242.250887944772,3376.7898
2180,-4631.741805465241,1322.0006054652529,3309.7412
2181,-4707.1416,1450.8086000000085,3256.333
2182,-4594.777829835155,1243.1908298351627,3351.587
2183,-4726.119921803614,1226.4617218035867,3499.6582
2184,-4968.386,1220.2773999999808,3748.1086
2185,-5072.514,1199.1363000000676,3873.3777
2186,-4808.030366170512,1010.8283661705286,3797.202
2187,-4643.383249999984,1005.18085,3638.2024
2188,-4490.0258999999905,1129.7886,3360.2373
2189,-4321.813999999997,1190.5865,3131.2275
2190,-4084.8754999999906,1237.8695,2847.006
2191,-3925.5605999999925,1398.2584,2527.3022
2192,-4012.26849999999,1714.3278,2297.9407
2193,-4704.431331290767,2438.7502,2265.681131290771
2194,-5188.7925,3162.5085,2026.2839999999965
2195,-5449.6885,3860.9739,1588.7146000000052
2196,-5644.4043,4134.3687,1510.0356000000052
2197,-5735.7046,4080.0422,1655.662399999996
2198,-5754.475,3927.4539,1827.0210999999917
2199,-5704.98,3691.2117,2013.7683000000159
2200,-5466.964,3247.609,2219.3550000000128
2201,-4588.172,2330.109,2258.063000000009
2202,-2825.081999999999,1167.3634,1657.7186
2203,-2312.063,896.1823,1415.880700000006
2204,-2059.5771,785.2663000000041,1274.3108
2205,-2012.1459,715.41191142658,1296.7339885734264
2206,-1766.7632,826.51276,940.2504400000051
2207,-1432.0586,1008.4102,423.6484000000031
2208,-1363.4796,1102.8764500000032,260.60315
2209,-1363.3720911280598,1223.7812911280696,139.5908
2210,-1327.8918610954565,1228.5479810954612,99.34388
2211,-1347.6433529979386,1139.6128,208.03055299794494
2212,-1279.1619,1253.2567,25.905200000002253
2213,-1319.6484,980.9229,338.7254999999991
2214,-2189.8374,606.2270000000026,1583.6104
2215,-2820.536,688.7233000000081,2131.8127
2216,-3261.397647122204,1140.8932471222095,2120.5044
2217,-3729.7536999999934,1849.8435,1879.9102
2218,-3909.4573999999907,2457.5325,1451.9249
2219,-4011.914499999989,2769.7622,1242.1523
2220,-3698.719232344973,2579.9932,1118.7260323449814
2221,-3155.1765,2126.0828,1029.0937000000008
2222,-2674.0305,1790.8871,883.1434000000056
2223,-2399.5635,1306.563062701952,1093.0004372980552
2224,-2355.3987,1300.9093,1054.489399999995
2225,-2384.891,900.886500000003,1484.0045
