,Objective Value
107,1726885.4533160848
108,1705473.5646969916
109,1714864.7672541211
110,1754967.2026417875
111,1791875.8242989704
112,1854077.4625695995
113,2049764.6278539854
114,2234106.8698006123
115,2285168.763604515
116,2140096.510813848
117,1968416.2872755604
118,1772098.0187302034
119,1614022.5185084506
120,1560128.1693609112
121,1542382.1760533457
122,1519438.015213542
123,1554810.9917314344
124,1639073.8223425942
125,1909225.8064356658
126,2092725.7461009102
127,2148193.8598920605
128,2044076.8131394167
129,1964019.345082267
130,1954275.9118224848
131,1871797.9819599732
132,1779385.491363572
133,1718657.2466889832
134,1669416.1434048414
135,1613090.5045721363
136,1627559.8602766949
137,1824071.2596976217
138,1998762.2463600878
139,2046216.072993253
140,1977125.8897968286
141,1854997.0044557021
142,1657107.2544289255
143,1510518.0964881175
144,1475254.387784764
145,1429433.7279640075
146,1411549.054226367
147,1380274.2014628209
148,1269478.806080994
149,1127612.4793151873
150,1154340.3329585686
151,1156837.2210621156
152,1026949.4740705002
153,878565.5078714917
154,793875.8844848289
155,693242.6697100376
156,555740.7522056773
157,500317.50530200667
158,451682.0783387721
159,507965.1517587005
160,672190.3821251864
161,973481.0620360282
162,1228019.471370134
163,1364011.3664829866
164,1360825.9394878738
165,1299466.66764623
166,1186483.3606741207
167,1047368.2414108682
168,1000441.878647176
169,987306.8598951993
170,988182.5739172887
171,1039308.0783832693
172,1073158.3899548897
173,1078070.8144993566
174,1156771.8192489878
175,1308782.8413185808
176,1236158.6928717594
177,1097929.4162911368
178,1026035.3005177402
179,977634.4123483759
180,907797.5048172171
181,887570.9927217999
182,889642.8429914012
183,903610.9211223226
184,996825.7983972195
185,1257779.2271276475
186,1507483.567073396
187,1579669.5903614932
188,1563679.8396521101
189,1497562.0307390324
190,1351796.14699978
191,1194847.803755945
192,1130356.0791643332
193,1111481.3109823563
194,1099988.8234345692
195,1113568.2893723284
196,1112496.7440032049
197,1060280.0822585325
198,1051160.5546511516
199,1074776.5634261726
200,917576.901957284
201,768447.8005641976
202,708138.9438209039
203,644475.6570000187
204,510364.1457643083
205,439622.491843879
206,410859.9766256938
207,482812.904794893
208,721045.998971875
209,1103798.3550827093
210,1414326.7555375993
211,1534395.3895719163
212,1559447.160460259
213,1493541.3598838183
214,1366359.5928430466
215,1183040.5342377864
216,1089047.7836068724
217,1015609.4600701011
218,988399.9914773273
219,1003918.9450861161
220,1018203.9567030943
221,1010530.015910117
222,1018313.5600617587
223,1063269.6341526823
224,1055332.0912589687
225,1010248.6917715006
226,1018649.2605864273
227,964373.8770290873
228,848899.3465416207
229,793838.3973770167
230,804530.9045249048
231,867835.3374197208
232,1047990.4171623895
233,1324577.093505738
234,1513601.8984160086
235,1568408.9569976795
236,1596228.1191760704
237,1498522.383243708
238,1293075.6222578317
239,1065485.6331744906
240,963926.401426152
241,922128.9686311086
242,924816.2536752453
243,946556.8137416141
244,1057413.1613588016
245,1406823.4325480722
246,1649476.9645708431
247,1839363.3405617643
248,1828754.1151542063
249,1669785.6378739406
250,1499717.42722654
251,1317045.5884406385
252,1286833.083829089
253,1278436.7162459309
254,1309685.339521511
255,1333342.6344312762
256,1424825.0495430767
257,1606164.0581082057
258,1784636.2537223937
259,1880481.8626810522
260,1825544.4555289927
261,1670629.947948421
262,1487497.7812006497
263,1374719.7975070423
264,1302702.8923364799
265,1280486.2589608948
266,1264787.7571037884
267,1346089.1496160706
268,1488247.4968754202
269,1794204.252609829
270,1977480.1792321296
271,2000455.0186977414
272,1802278.6829452023
273,1579959.8389088104
274,1445642.7378577571
275,1281182.4690278138
276,1235186.5673588992
277,1131772.8721701475
278,1100228.6348181772
279,1137473.7765845277
280,1305583.4245075816
281,1651343.1110411717
282,1870428.8479414997
283,1907037.8020696025
284,1826887.5364709601
285,1637896.7350450794
286,1345102.623790101
287,1158081.429557228
288,1093030.3196254552
289,1091790.7176241295
290,1163168.6055708304
291,1265306.9498293686
292,1381924.6091908528
293,1687160.5475942963
294,1949132.7289235373
295,1987782.8652392093
296,1798162.2114474413
297,1679769.4658931466
298,1611847.086971185
299,1479701.582122889
300,1419169.4222087855
301,1357355.6965658409
302,1342513.5530715794
303,1381601.9026686598
304,1538478.6469625412
305,1788103.8133672068
306,2055880.0896746055
307,2197201.1963452194
308,2160684.007526809
309,2022017.0294574513
310,1799369.5182958394
311,1646997.2629347437
312,1585612.1124087423
313,1564883.277388086
314,1609328.773281512
315,1623643.4835609673
316,1722369.9163859119
317,1964650.2973139063
318,2164534.802693794
319,2163670.08357329
320,1948319.910868552
321,1681083.2880718925
322,1491387.9966176203
323,1360419.5907465664
324,1239104.1397799028
325,1140515.9287084688
326,1096148.1560436434
327,1110698.956710505
328,1321007.0434892967
329,1648919.0778606096
330,1892443.580325881
331,1987647.3007129582
332,1978954.7009268214
333,1801411.463963654
334,1576322.2957304048
335,1435279.1546834016
336,1351711.6759123052
337,1347683.5070989728
338,1361487.9770520302
339,1368337.5099914046
340,1369297.4094061996
341,1407019.984040889
342,1463156.7019471547
343,1509247.027568873
344,1387305.2027703577
345,1157306.1079272048
346,969353.7280351805
347,858791.9487758342
348,779640.6956138794
349,717580.7370265018
350,700844.5617041775
351,788948.1674633727
352,971182.2187997894
353,1295321.6359023117
354,1481485.4271615373
355,1561697.632788499
356,1586408.6749658845
357,1502685.2795932363
358,1339228.2511408846
359,1173315.9998355643
360,1078583.9817461383
361,1054849.3533922213
362,1057521.7833010643
363,1078018.1834737686
364,1088177.1647503986
365,1059819.9308727265
366,1112882.0310370168
367,1197755.3547211555
368,1145077.601533846
369,1003673.8942150602
370,950647.9841538679
371,911641.8091485387
372,788133.1850839054
373,714099.0180299935
374,779770.6865186339
375,921339.8837916771
376,1134473.7148638426
377,1393728.105811299
378,1524966.2782622934
379,1539331.2692071833
380,1510028.7299434738
381,1494264.9268255285
382,1285078.6451102481
383,1181339.5216433299
384,1123335.0980641393
385,1109559.6697854465
386,1129858.9342229334
387,1182060.802288553
388,1407432.0509985338
389,1798608.425754192
390,2034386.1704879873
391,2088132.5202214792
392,1998043.335455034
393,1858931.9739198368
394,1737325.8024966158
395,1607686.8485684977
396,1533095.918787146
397,1395279.0503012824
398,1318217.390542325
399,1323043.149795643
400,1415059.749102852
401,1655764.9236791104
402,1926216.4588086773
403,2023834.8003469515
404,2039851.9197943746
405,1898937.9095187155
406,1665281.7034726602
407,1566885.9342643525
408,1599389.3163167888
409,1595023.099024959
410,1654823.0422528603
411,1711763.7047386337
412,1838501.2087859986
413,2190441.2524031997
414,2320914.911761354
415,2125218.5744180377
416,1779550.9771915677
417,1476685.4542954112
