Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2161,-1000.0,-1000.0,-1000.0
2162,-1000.0,-1000.0,-1000.0
2163,-1000.0,-1000.0,-1000.0
2164,-1000.0,-1000.0,-1000.0
2165,-1000.0,-1000.0,-1000.0
2166,-1000.0,-1000.0,-1000.0
2167,-1000.0,-1000.0,-1000.0
2168,-1000.0,-1000.0,-1000.0
2169,-1000.0,-1000.0,-1000.0
2170,-1000.0,-1000.0,-1000.0
2171,-932.4483273069363,-1000.0,-1000.0
2172,-808.3995454044989,-1000.0,-1000.0
2173,-606.1644578520682,-1000.0,-1000.0
2174,-813.7224127456202,-1000.0,-1000.0
2175,-1000.0,-1000.0,-1000.0
2176,-1000.0,-1000.0,-1000.0
2177,-1000.0,-1000.0,-1000.0
2178,-1000.0,-1000.0,-1000.0
2179,-1000.0,-982.5875971855852,-1000.0
2180,-1000.0,-979.659989154221,-1000.0
2181,-1000.0,-918.1111663429161,-1000.0
2182,-1000.0,-1000.0,-1000.0
2183,-1000.0,-1000.0,-1000.0
2184,-1000.0,-1000.0,-1000.0
2185,-1000.0,-1000.0,-1000.0
2186,-1000.0,-1000.0,-1000.0
2187,-1000.0,-1000.0,-1000.0
2188,-1000.0,-1000.0,-1000.0
2189,-1000.0,-1000.0,-1000.0
2190,-1000.0,-1000.0,-959.4633934213825
2191,-1000.0,-1000.0,-1000.0
2192,-1000.0,-1000.0,-1000.0
2193,-1000.0,-1000.0,-1000.0
2194,-1000.0,-1000.0,-1000.0
2195,-1000.0,-1000.0,-1000.0
2196,-1000.0,-1000.0,-1000.0
2197,-1000.0,-1000.0,-1000.0
2198,-1000.0,-1000.0,-1000.0
2199,-1000.0,-1000.0,-1000.0
2200,-1000.0,-918.7507706047968,-1000.0
2201,-1000.0,-924.1473816208284,-1000.0
2202,-1000.0,-842.3415326812315,-1000.0
2203,-1000.0,-933.5950889927481,-1000.0
2204,-1000.0,-943.8469803944658,-1000.0
2205,-1000.0,-952.6169711287898,-1000.0
2206,-1000.0,-973.2388696208529,-1000.0
2207,-1000.0,-975.0725139014353,-1000.0
2208,-1000.0,-978.8477484045582,-1000.0
2209,-1000.0,-985.6016724862266,-1000.0
2210,-1000.0,-998.4873609665906,-1000.0
2211,-1000.0,-1000.0,-1000.0
2212,-1000.0,-1000.0,-1000.0
2213,-1000.0,-946.3378204951725,-424.62391566689877
2214,-1000.0,-872.4760718601901,-254.8130389302366
2215,-1000.0,-847.6398635500041,14.085532752425479
2216,-1000.0,-849.5922808162309,222.92381665456833
2217,-1000.0,-878.7698144793369,-202.93804588665148
2218,-1000.0,-878.0563794597738,-258.72762485333783
2219,-1000.0,-888.5104660171976,-400.02344543041227
2220,-1000.0,-917.4353952023389,-696.2409406159032
2221,-1000.0,-959.3702597433942,-1000.0
2222,-1000.0,-953.0211723283145,727.5405663792794
2223,-1000.0,-950.8018872054661,992.1070865947669
2224,-1000.0,-944.1293597734345,897.7194784637484
2225,-1000.0,-871.6746617015139,590.5580630018467
2226,-1000.0,-866.9634790017758,821.8610454734353
2227,-1000.0,-913.4271839022282,1000.0
2228,-1000.0,-890.1150393053372,981.7506791907326
2229,-1000.0,-912.8278185096276,437.2219472066122
2230,-1000.0,-974.7037387350942,607.1172359807284
2231,-1000.0,-996.3665490182511,531.3176055000038
2232,-1000.0,-1000.0,182.09838250000038
2233,-1000.0,-1000.0,84.4082545
2234,-1000.0,-999.999999887805,143.30175700000024
