Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2161,124251.99135308561,54875.57159305313,26425.124349841364,218333.7184268023,146239.88720599018,147285.37479391196
2162,121860.35182611922,53918.3958901381,27514.728450034974,226612.7225119709,144045.16763077702,144778.3440878549
2163,119195.67893037965,54006.56084779448,26096.167747698448,218556.63573921152,140143.06075852652,142809.18808560804
2164,117947.6248877963,54109.95607946781,26180.909176112018,210401.91352120752,137874.57550825836,143016.0746056157
2165,129236.94645421684,58690.927199879814,28450.399027379015,225815.7021609706,147123.93738821778,152615.20500732923
2166,156790.61844237256,70007.54774391314,29277.18704808117,265741.9754992167,166594.16145355528,173969.4285284565
2167,187996.0960442693,79623.41217115175,27499.79952179288,285564.17455367604,192110.12830709628,202110.4980399587
2168,195562.1348420796,66887.29705918458,24222.190400130326,247447.87112185615,215674.30244594766,220264.7828171951
2169,174635.8349718479,41644.43563102446,24924.310018305878,129864.54924293826,216324.63834800117,221347.0040700733
2170,162364.37795975973,39009.088369113815,23951.730353238105,53479.38629044755,201537.87206818178,211183.47069513449
2171,136974.82169395642,25357.991752992853,21554.021306910843,18849.73315215517,177439.30644198225,192968.30898325442
2172,114482.63765192726,3904.923927582464,22273.711858107352,1300.717288772315,167334.2027426283,181290.2673772187
2173,96510.74433977538,1105.9109267870751,22148.45967338848,0.0,154697.1471974936,166834.3842128107
2174,92745.69479798207,873.18436003539,24021.240612430844,0.0,153928.16764706734,167284.37155037402
2175,96016.46194736991,8041.388483788327,23482.94216527381,20895.9063131484,149861.4418382278,165385.48936824725
2176,109023.89500867244,24144.896413899565,16321.342434620845,119666.23975839488,153842.88408798148,169823.9039104592
2177,146222.91233507794,45175.15515189934,22688.384816395555,279497.3178650753,174571.23586950634,188685.62054291737
2178,188558.5549561524,79557.8442289826,35011.385790173925,368485.4137467436,194313.26137714164,202692.47648962686
2179,202991.5712131088,106485.70420424663,37326.9644067579,396703.255101847,203076.1050808337,206818.40560009066
2180,203645.2463997508,108250.8908711236,38775.41039827456,417424.7586714262,204041.06094676582,207370.41233123787
2181,186143.50296814684,102566.86286469895,31148.861338869145,402532.6044876073,181260.3507655978,190278.9022093605
2182,162702.11361689892,90480.49858455124,25487.91567070735,360690.8381456424,162350.89018777467,165008.18886864156
2183,133521.78780581738,79813.1618335307,21514.063889496712,308926.92753261887,139543.25196520184,142365.98566277607
2184,114203.28406051584,74386.67700227203,19258.75151074907,270903.5581183397,126805.01921535468,128991.39892480477
2185,106429.16415061009,73310.06326484711,20942.53569927121,261143.49497992176,123777.67570907538,126724.42359567576
2186,103615.9305971115,75674.75693517667,22954.25459570738,266454.0307908935,125162.87445559312,127766.60038232859
2187,108863.1037912601,81794.9522716577,30877.486454681653,286768.8760328421,133461.78696661524,135825.0983153244
2188,109288.65615078592,86620.31886054574,36722.81382728249,306801.51748611097,133173.32046084272,141541.14243166923
2189,106596.54210259688,87878.61665915407,40094.50619623971,317722.79393424606,128037.15139703183,147534.80200201191
2190,108607.40555826071,91826.15005361798,46513.44617072888,332038.7026313866,124718.32856019448,159410.8755674482
2191,120773.92958009595,99638.63272397884,53856.299090043976,329535.7685562799,130192.88019817494,181031.6985115032
2192,129393.05757680973,94300.21645677349,47199.48779055302,293214.17590659176,132449.32419732868,193632.08285007792
2193,120053.63696291589,73528.25861899018,32973.46326239343,238733.3511478543,128744.8964413126,205253.5026978543
2194,113591.60452321323,40252.10040528116,20025.139822710422,216014.2293926386,137298.74869892388,222918.32290985493
2195,106166.84371517642,20915.105454788725,12671.76134179463,201170.90039750244,143952.24305348587,229840.81543922846
2196,88330.25097163662,4853.481486366577,4920.021044130223,166674.69555384037,133053.23048746717,215924.4008319957
2197,71635.95399393293,2563.0472085163537,5973.9487613491,129237.81803537074,119168.03432859023,195807.8257601478
2198,71054.72751846277,2543.800452575682,7947.88714407546,129890.74091055986,120161.79599711075,191621.70001551235
2199,78829.1085651981,4244.808507626555,9414.658708381443,153469.9426186546,126186.6333062418,190990.8118878983
2200,108280.70800198292,22045.7077084384,14619.968439327607,217545.10050435286,144160.8080075133,207806.64331411693
2201,178922.3778599673,76898.23679270259,23903.34651285108,306703.95736255066,177813.23810677906,243006.0165219066
2202,277011.7635974564,132350.83412399364,29669.59391227604,373225.6854488953,234057.4994478497,261762.71961692176
2203,339204.01875279454,152735.10204275354,45192.05844342074,398339.54258758895,289337.22883133264,281604.8840976745
2204,357173.05648363894,148569.88222335733,58046.59837349876,393409.82101068075,307073.4903053774,282116.920285631
2205,353033.87406378915,143200.895059028,69419.61140198597,375474.1879587526,303777.0273158945,271002.56714274833
2206,328229.0231225141,132656.88354239677,59474.750311182506,327584.337099982,266245.37081828265,241266.58513238805
2207,319572.85446619586,126539.12698028694,53127.40809432517,301929.3127595896,242016.26622042325,218549.73526487206
2208,311752.4691430692,121044.2781710245,49105.78102765138,284210.734388569,227406.96427144308,205884.59792102862
2209,304669.5073798496,120505.7475821402,48460.099867029334,284366.55572665273,225149.75094553013,202603.08244414878
2210,306091.675223619,120748.5795420797,52546.14809501558,302051.2462126324,233055.3807492776,204093.67135700566
2211,325376.1513563135,125014.1965912938,65802.11721251189,324191.6800313659,260209.78491982218,217963.4425018532
2212,363571.91062027274,132275.8622027887,95044.79520454611,383131.30748108827,312390.504739519,248613.78502638295
2213,432069.06547334656,154667.082867905,146498.2680854423,470621.13860882766,395956.84749730455,308328.97423692886
2214,439614.16053660517,158016.0506146004,205287.50925803042,536531.1520892276,451858.6925430821,397429.48277993745
2215,420347.3191478461,157644.05146690283,241206.9947478972,525284.2552047346,475094.7325650863,450201.9210913023
2216,408656.17656677804,156609.32994812925,204731.3524212209,434800.0814892739,478469.13465263136,447839.31111065176
2217,389692.42895803985,153471.19489044242,168708.43006855424,359489.93861390004,472723.58962612477,433118.9423576415
2218,387389.3366198759,153496.2494340673,164772.13590189256,323233.0412451775,472721.0578091827,435098.35250013694
2219,377956.45938435517,156140.1325227926,159602.4288961785,303631.70414235967,460111.08067963534,438841.3136429747
2220,370728.5211991331,156160.4805832236,156169.23364120387,287577.0457514075,441834.1980853848,433323.73304820183
2221,366582.76334069215,152143.52973566772,156298.83518917678,285209.3854778871,418575.6001127433,421412.2983554518
2222,381993.71472069575,147500.42321164932,163606.34268991282,308077.39016097,414798.68274930585,419427.25104309386
2223,380656.09060458926,149162.2398712729,177433.55011020246,350674.2730575161,411982.24565065047,433454.9696353603
2224,389445.40357843344,148700.68788690888,191323.84215834318,414065.71268230217,420082.06878370536,442645.4033135253
2225,402985.0130411925,159136.21814310236,245029.01022786327,502722.2711139715,438856.63740038,461166.0843031911
2226,404911.37493238016,163667.85072736253,290324.6076264142,548285.5419094553,448536.93249402643,463851.0739876904
2227,420263.75385421474,171476.83315581304,308589.30151236744,569155.7769548579,463729.46466441307,472121.9465347385
2228,391379.48235984024,168903.7062792903,305402.224145536,561437.7750490579,443425.06127786567,459794.5697486383
2229,365622.62766872864,155862.08339968623,267785.93999451265,525992.9645256973,396660.0913143768,429936.4548527217
2230,353302.8445613801,141264.74820597342,214361.62737678018,478438.79272596794,342875.184712901,393086.797583256
2231,356338.35619956505,131008.63065550053,184928.23825474866,451087.84170606226,310268.428148753,360119.7929770802
2232,358563.43184612325,122367.33093656262,180465.9091310683,435409.2681887699,291250.9760612561,331661.4305086326
2233,367802.19800591056,119085.52894556205,183119.90578453185,434919.46653518925,288300.75475351315,319468.7165494677
2234,377172.96953249344,121400.0208947852,189410.16963083565,448252.18469259277,297580.0190949467,323939.9576753514
2235,383991.4986688303,127067.48731208938,198371.8226529874,466577.9595653866,313581.6520978904,340470.6132200147
2236,409938.79921908345,139835.8446927327,224628.30290251152,504636.1066963241,351758.29252004984,378790.28004076425
2237,468647.4833029578,165764.1451608514,274958.98998411867,577489.507137088,428299.8835613399,454851.61518309783
2238,443380.90048407885,171674.04286925614,326817.9307558833,611681.1335816467,468319.2153470144,500844.35339506133
2239,430619.05989922193,176749.95842731625,347186.1920615882,609562.8306883827,483260.45965060964,513812.91642164835
2240,405491.7204053248,174565.44313403324,314278.172814819,558716.8034602856,464814.7476745929,503505.2862034547
2241,390536.18905190565,168013.0296679819,275070.4881919656,497866.1400660453,449567.72763644904,496788.09031675087
2242,372638.74984812236,152143.15548628516,236944.79498413185,435555.7253476331,430510.7262358478,484410.621722816
2243,353464.65007265715,133791.21597357496,200442.19734632914,385263.17467888567,402438.74933762057,466884.12123451114
2244,349814.41288247623,125095.39302479291,178034.4426471876,350202.3722109749,371019.23005930556,446117.5764577986
2245,346419.8521430983,122914.53867806052,172865.61330190286,334324.9977981842,344260.9637477513,412617.97511276376
