Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2247,-979.4952400000002,-997.6274999999998,-242.57588000000032
2248,-975.1764999999996,-997.3037999999999,-607.3132999999989
2249,-992.4934700000003,-999.8988000000002,104.92097999999987
2250,-980.8642,-998.7210700000003,966.7622700000002
2251,-979.1531999999997,-996.9961000000001,1000.0
2252,-976.0793999999996,-997.1632999999997,1000.0
2253,-983.1548000000003,-996.5572499999996,1000.0
2254,-975.1662999999999,-996.2879000000007,891.4978999999994
2255,-998.6082999999999,-996.67163,465.05950000000007
2256,-1000.0,-998.3985,94.8001200000001
2257,-1000.0,-998.8576999999998,-61.97452499999997
2258,-1000.0,-998.7855,-266.6842999999999
2259,-1000.0,-999.1119399999993,-143.56434999999988
2260,-1000.0,-999.4797399999998,285.4080200000001
2261,-1000.0,-998.0399000000004,598.7964
2262,-1000.0,-996.5603600000002,1000.0
2263,-980.1116300000003,-996.2063999999993,1000.0
2264,-996.5472999999993,-995.5503999999999,998.5628700000002
2265,-977.9508999999998,-996.0160000000001,-185.3543499999996
2266,-980.7453600000008,-997.3349000000001,-820.2344400000002
2267,-990.4359999999997,-998.9366000000002,-895.4718000000012
2268,-989.0957600000002,-998.8832000000003,-871.8321499999984
2269,-980.8045999999995,-997.8013299999999,-808.5171000000028
2270,-971.7253999999994,-996.4273699999998,-749.72235
2271,-981.3947000000007,-996.3014500000002,-314.72445999999945
2272,-996.3534,-998.6383999999998,-117.43641000000025
2273,-1000.0,-1000.0,580.8128000000004
2274,-994.8424699999996,-996.5653700000003,1000.0
2275,-974.10754,-996.5597499999999,1000.0
2276,-974.3279000000002,-996.7278999999999,1000.0
2277,-998.1189999999997,-996.4535500000006,1000.0
2278,-1000.0,-996.8390499999998,824.0862400000005
2279,-1000.0,-997.9359999999999,382.97415
2280,-1000.0,-998.6205399999999,-58.97879799999998
2281,-1000.0,-998.1143,-211.77125999999998
2282,-1000.0,-997.6292000000003,-224.25722999999994
2283,-997.0846000000001,-997.1199299999998,-234.9142999999999
2284,-998.0983999999999,-996.7356000000004,7.4622629999998935
2285,-1000.0,-995.6506999999999,302.9074700000001
2286,-991.3710300000002,-992.3569300000001,882.61365
2287,-968.1783400000004,-992.8851,1000.0
2288,-985.6374500000002,-994.9559299999999,1000.0
2289,-1000.0,-997.70496,1000.0
2290,-1000.0,-1000.0,1000.0
2291,-998.2978500000008,-1000.0,1000.0
