,Objective Value
273,1580354.6871670175
274,1446773.5177692466
275,1286791.1862923363
276,1236938.2949572278
277,1158376.2412720234
278,1112455.7261552813
279,1138550.5122040722
280,1303635.5714579178
281,1652108.0771588108
282,1870741.5682061454
283,1907299.3653277617
284,1827288.98627297
285,1638921.969544066
286,1345252.681077407
287,1164380.0900369582
288,1093372.1603080335
289,1090923.852859516
290,1154715.7509309163
291,1258666.6501857336
292,1361200.7474511543
293,1689352.9288935266
294,1935222.8680455831
295,1980926.080040383
296,1798361.2749643475
297,1679556.7316511555
298,1610291.2099421558
299,1478686.0711101347
300,1419000.8663516568
301,1356917.252093099
302,1342298.8490087613
303,1381373.9009662953
304,1543091.6427446217
305,1788445.7035891267
306,2055503.8238618942
307,2187124.1283804597
308,2158099.5915479455
309,2026311.625331886
310,1801574.8732183815
311,1647796.3855427091
312,1586183.1432429906
313,1565373.677017986
314,1609530.0897373024
315,1623851.3959070528
316,1722520.2635613368
317,1960845.5520227859
318,2152804.024824915
319,2160363.456329564
320,1947709.9738576694
321,1684207.1619787284
322,1490264.3386574422
323,1358863.6431180844
324,1258794.7412760365
325,1152576.3936244943
326,1094556.2156138965
327,1110697.8897071588
328,1322391.2193764509
329,1651136.720699745
330,1892673.261948273
331,1987195.4613394071
332,1980239.7390443406
333,1804529.5749369196
334,1577871.596601194
335,1436338.1054450274
336,1352730.3156453876
337,1348486.8661981842
338,1362243.269171544
339,1369074.7421259296
340,1370162.1515133441
341,1407774.226625158
342,1463860.368071658
343,1511087.93510245
344,1391026.237055005
345,1156931.963475198
346,969363.6319289606
347,873592.9008723879
348,786941.6361079247
349,727771.7212458003
350,710302.3433140218
351,770916.2150644981
352,971086.2470231381
353,1295787.7760416234
354,1485155.4843896274
355,1563440.4885939436
356,1587542.671705002
357,1503716.3659197683
358,1340977.2051945017
359,1175608.5426017407
360,1081089.239932317
361,1055700.55626074
362,1058127.0866526777
363,1078784.0448349856
364,1088458.5563253297
365,1059902.3813235264
366,1113062.9447888676
367,1198539.2221830385
368,1147656.534928072
369,1004886.7501518804
370,950647.9841772908
371,911672.9784926843
372,798559.0947174778
373,727815.0215962742
374,779748.1711054938
375,921339.8837916771
376,1137119.2640652827
377,1394815.9885107935
378,1525548.646575282
379,1539625.6105869105
380,1510317.4655568947
381,1494571.04587225
382,1285302.585156113
383,1181348.6581419436
384,1123350.579765253
385,1109575.6866119565
386,1129870.3423941855
387,1182067.7225603058
388,1407626.7961233167
389,1798839.6037345119
390,2034676.1612227852
391,2088389.7349506945
392,1998700.9681486352
393,1859189.1875675647
394,1735450.9486426252
395,1603485.0787391658
396,1532306.529927066
397,1395885.4923916326
398,1318656.9282838006
399,1322183.4836374407
400,1415957.0202883864
401,1656603.5913135123
402,1926671.9226389718
403,2023899.074970644
404,2040004.3691127072
405,1899539.7052380745
406,1665902.1427701102
407,1567227.1688922895
408,1599645.4594169601
409,1595292.5583586004
410,1655059.871116169
411,1712125.635754217
412,1838830.3491723551
413,2184948.931630796
414,2316182.4759472026
415,2127861.539557523
416,1780179.913676938
417,1479079.6637488562
418,1341209.8487346198
419,1241758.9642186174
420,1142192.3329279872
421,1052640.7095724817
422,1078065.2474056163
423,1153538.147080675
424,1362266.5968742655
425,1656933.3162908012
426,1944416.210017859
427,2081220.9144294462
428,2056057.4568580934
429,1890764.1270373557
430,1639994.985609527
431,1470582.6977740154
432,1400521.4074557929
433,1367216.3883027046
434,1414733.996568484
435,1486411.9778261
436,1654086.0444635248
437,2062114.1632018457
438,2230653.2156285923
439,2166650.2083415533
440,1874549.708684888
441,1636665.8268012798
442,1501665.0187869733
443,1409025.634620198
444,1393297.653033558
445,1322987.909762288
446,1354961.056482349
447,1422991.177294718
448,1517084.9842052683
449,1769144.5512507027
450,2012589.8844390407
451,2055257.7310876448
452,1999287.2352872689
