,Timestep,Line,Actual,Predicted
147,2210,1,-719.1375,-1459.4456
148,2210,2,1194.344,1099.5254
149,2210,3,-475.20667,99.34388
150,2211,1,-809.73267,-1408.2922
151,2211,2,1109.4055,1139.6128
152,2211,3,-299.67294,17.719389
153,2212,1,-975.57904,-1279.1619
154,2212,2,894.8603,1253.2567
155,2212,3,80.71896,-83.83425
156,2213,1,-2159.3186,-1319.6484
157,2213,2,623.23517,980.9229
158,2213,3,1536.0833,329.59024
159,2214,1,-3019.0032,-2189.8374
160,2214,2,371.5394,738.30334
161,2214,3,2647.4636,1583.6104
162,2215,1,-3391.4792,-2820.536
163,2215,2,399.95273,755.4651
164,2215,3,2991.5264,2131.8127
165,2216,1,-3798.0076,-3229.1328
166,2216,2,1042.6835,1246.8796
167,2216,3,2755.3242,2120.5044
168,2217,1,-3836.487,-3605.086
169,2217,2,1841.8877,1849.8435
170,2217,3,1994.5994,1879.9102
171,2218,1,-4023.0696,-3753.1946
172,2218,2,2354.3328,2457.5325
173,2218,3,1668.7368,1451.9249
174,2219,1,-3940.87,-3832.9565
175,2219,2,2640.6038,2769.7622
176,2219,3,1300.2666,1242.1523
177,2220,1,-3451.2341,-3631.9084
178,2220,2,2499.8696,2579.9932
179,2220,3,951.36426,1257.3896
180,2221,1,-2698.9744,-3155.1765
181,2221,2,2132.3018,2126.0828
182,2221,3,566.6725,1261.3373
183,2222,1,-2515.8816,-2674.0305
184,2222,2,1831.7228,1790.8871
185,2222,3,684.15875,1093.5345
186,2223,1,-2385.7761,-2399.5635
187,2223,2,1367.6313,1368.0438
188,2223,3,1018.1446,1166.5973
189,2224,1,-2459.7378,-2355.3987
190,2224,2,1387.062,1300.9093
191,2224,3,1072.6757,1152.353
192,2225,1,-2727.9578,-2384.891
193,2225,2,904.8264,1000.2125
194,2225,3,1823.1311,1484.0045
195,2226,1,-2860.3591,-2491.0684
196,2226,2,667.3858,708.22766
197,2226,3,2192.9734,1874.0375
198,2227,1,-3031.9634,-2476.9019
199,2227,2,657.30835,591.2929
200,2227,3,2374.6548,2020.3926
201,2228,1,-2817.7634,-2554.4448
202,2228,2,578.46344,603.4943
203,2228,3,2239.3,2115.1338
204,2229,1,-2127.198,-2429.3762
205,2229,2,550.0924,619.7912
206,2229,3,1577.1057,1930.982
207,2230,1,-1321.5968,-1871.403
208,2230,2,722.4964,668.3624
209,2230,3,599.1004,1306.5376
210,2231,1,-818.14105,-1277.3904
211,2231,2,842.3784,795.6508
212,2231,3,-24.237507,429.8736
