,Timestep,Line,Actual,Predicted
136,2171,83->25,1263.5254,1364.0773
137,2171,24->25,1834.3699,1627.3143
138,2171,47->73,-295.2327,-241.49767
139,2171,47->72,96.57586,124.63569
140,2171,9->10,1000.0,867.33093
141,2171,55->119,999.99994,1007.8677
142,2171,89->120,1000.0,939.6788
143,2172,37->65,-579.08,-647.6817
144,2172,49->68,-17.113115,-39.87667
145,2172,37->39,-1549.4321,-1727.0901
146,2172,47->68,-163.22192,-176.50764
147,2172,25->47,-411.25113,-370.7329
148,2172,65->68,-318.4825,-387.76337
149,2172,83->25,1280.6005,1406.0892
150,2172,24->25,1918.8356,1675.0599
151,2172,47->73,-294.15997,-256.2563
152,2172,47->72,108.70819,103.774796
153,2172,9->10,893.4194,866.2077
154,2172,55->119,999.99994,1016.9826
155,2172,89->120,1000.0,944.9681
156,2173,37->65,-616.32355,-657.0697
157,2173,49->68,-2.392816,-30.3831
158,2173,37->39,-1705.4075,-1792.2573
159,2173,47->68,-143.73143,-197.64598
160,2173,25->47,-424.15472,-365.47687
161,2173,65->68,-284.783,-347.7336
162,2173,83->25,1245.3749,1422.7539
163,2173,24->25,1942.3745,1688.3718
164,2173,47->73,-284.15247,-259.588
165,2173,47->72,122.00584,98.57083
166,2173,9->10,606.1647,869.9415
167,2173,55->119,999.99994,1020.9387
168,2173,89->120,1000.0,950.7285
169,2174,37->65,-609.33484,-664.98456
170,2174,49->68,-10.403823,-24.99432
171,2174,37->39,-1716.2643,-1835.7764
172,2174,47->68,-290.48874,-205.00279
173,2174,25->47,-378.42758,-366.8097
174,2174,65->68,-320.3882,-329.84927
175,2174,83->25,1610.3358,1432.0544
176,2174,24->25,1656.709,1692.5024
177,2174,47->73,62.733963,-251.09676
178,2174,47->72,144.1659,102.097694
179,2174,9->10,813.72235,875.42816
180,2174,55->119,999.99994,1022.40314
181,2174,89->120,1000.0,958.8864
182,2175,37->65,-599.7453,-649.2692
183,2175,49->68,-19.087439,-50.409
184,2175,37->39,-1661.5322,-1716.3668
185,2175,47->68,-287.34354,-164.39041
186,2175,25->47,-380.0361,-379.43787
187,2175,65->68,-314.25644,-430.62408
188,2175,83->25,1521.083,1401.7406
189,2175,24->25,1729.0076,1669.4067
190,2175,47->73,-11.786292,-238.81038
191,2175,47->72,123.412506,106.83283
192,2175,9->10,1000.0,877.3838
193,2175,55->119,999.99994,1014.76355
194,2175,89->120,1000.0,940.3169
195,2176,37->65,-612.76355,-631.52893
196,2176,49->68,7.516968,-66.56848
197,2176,37->39,-1763.1566,-1597.9202
198,2176,47->68,-226.73094,-110.199165
199,2176,25->47,-420.88925,-393.23813
200,2176,65->68,-139.4291,-502.46075
201,2176,83->25,1318.9751,1334.8407
202,2176,24->25,1842.6543,1622.596
203,2176,47->73,-206.5916,-201.75752
204,2176,47->72,146.04195,125.66304
205,2176,9->10,1000.0,894.5088
206,2176,55->119,999.99994,1005.6434
207,2176,89->120,1000.0,922.0332
208,2177,37->65,-608.6381,-592.52783
209,2177,49->68,-55.41337,-90.684395
210,2177,37->39,-1471.3512,-1376.0164
211,2177,47->68,79.29472,-29.406324
212,2177,25->47,-489.60464,-397.0792
213,2177,65->68,-490.62372,-615.346
214,2177,83->25,1287.586,1247.8315
215,2177,24->25,1784.8766,1554.4628
216,2177,47->73,-59.362373,-163.995
217,2177,47->72,268.62033,146.19739
218,2177,9->10,1000.0,930.2552
219,2177,55->119,999.99994,996.06647
220,2177,89->120,1000.0,897.42017
221,2178,37->65,-578.733,-540.9373
222,2178,49->68,-78.48216,-118.217155
223,2178,37->39,-1213.3523,-1106.748
224,2178,47->68,176.6915,66.22277
225,2178,25->47,-406.1562,-392.19168
226,2178,65->68,-615.6903,-750.4374
227,2178,83->25,1066.2878,1185.3376
228,2178,24->25,1425.5364,1495.989
229,2178,47->73,-54.80065,-135.57933
