,Objective Value
869,1459539.3047505957
870,1814429.6243718467
871,2024992.5450749542
872,2030052.9271302773
873,1931069.8437877367
874,1779155.2824633112
875,1680836.9635507127
876,1603654.7040031396
877,1606534.3863296823
878,1633182.9600753395
879,1799703.5279395368
880,1995530.348671353
881,2294863.0483770603
882,2486754.261693649
883,2478937.305991863
884,2395066.1944434466
885,2396301.263003474
886,2344589.795461638
887,2145289.330151477
888,2037851.1175600933
889,1967592.0431623312
890,1929736.4701503543
891,1938958.3241263432
892,1916527.3257512252
893,1971254.9061981123
894,2223296.519697119
895,2471432.178907704
896,2457605.6314611575
897,2201456.4612064473
898,2007691.985147103
899,1903711.4722145207
900,1771211.3546545273
901,1787262.2721393895
902,1803098.6477683717
903,1934703.364636708
904,1934617.9778935309
905,2077240.9769901298
906,2197297.820314999
907,2131995.55966402
908,2007353.2077878374
909,1974311.1623951974
910,1861998.387301193
911,1671222.260222625
912,1459981.8020756184
913,1357930.2199686773
914,1264434.7177784771
915,1242868.6601603518
916,1255005.5650080931
917,1307525.9275959935
918,1568988.2939360307
919,1720031.835843578
920,1757510.7511728085
921,1645535.207272355
922,1514760.4302678911
923,1444691.034644299
924,1382912.414173719
925,1451372.9768355808
926,1601810.6955840073
927,1825419.902909089
928,1944311.9614966128
929,2178754.4477228182
930,2347330.09558772
931,2258147.8240239057
932,2062754.6745013313
933,1978186.1344312401
934,1890747.6488342232
935,1727876.344825098
936,1551531.4798697247
937,1401171.841764029
938,1321660.7307077576
939,1297815.781609208
940,1289781.724032658
941,1373089.5374361188
942,1681931.754676167
943,1933558.5809911287
944,1909386.2876296144
945,1853614.580273849
946,1813406.1689161882
947,1825737.5166787768
948,1831266.1673057654
949,1820911.737968734
950,1861586.9948712082
951,1925669.5521451412
952,1915220.378618246
953,2068831.772621368
954,2268542.9739317507
955,2252774.9934617546
956,2125463.6245448817
957,2110129.36590859
958,2137093.5319525204
959,1950242.326646232
960,1806718.5085359616
961,1735273.1924755955
962,1699063.2979445
963,1647173.8909732867
964,1630332.7571994327
965,1699566.6071194096
966,2010235.4841719337
967,2205356.243063135
968,2201473.0195662244
969,2071721.7249788935
970,1963025.7791798192
971,1884060.2698522613
972,1850303.3122237162
973,1842728.446329663
974,1881007.9503354006
975,1989903.647565416
976,2092579.1131585452
977,2292578.0335084703
978,2537777.7532554427
979,2455008.421425239
980,2365492.104694895
981,2421222.618815729
982,2400010.4363614973
983,2238274.0246691876
984,2074204.002832377
985,1951586.1031413614
986,1867911.5815561174
987,1857171.3049647696
988,1841460.9903242385
989,1812036.7938578138
990,1801173.2099613815
991,1934042.4414455923
992,2049294.2068249944
993,2072496.0293310345
994,2006440.4801986264
995,1890549.376080318
996,1839540.0766815022
997,1777255.5624347338
998,1761980.4761371503
999,1867589.5713893631
1000,2032428.621917009
1001,2284665.752671368
1002,2539770.4402588764
1003,2439206.1536704334
1004,2332791.4801199804
1005,2320972.789881196
1006,2343278.452061303
1007,2234736.289706392
1008,2114318.9318304113
1009,2002078.0128833433
1010,1966218.8103916359
1011,1903170.5338993252
1012,1859724.8452043277
1013,1822388.7941495383
1014,1710868.5762099205
1015,1696618.922191087
1016,1767733.6494036592
1017,1806057.4988081616
1018,1748359.3680080262
1019,1712973.9908953926
1020,1740058.3559784524
1021,1705389.5163835578
1022,1700447.7807554174
1023,1804674.5913377001
1024,1964824.9786073284
1025,2199696.1532672984
1026,2466398.5480252556
1027,2405741.1653092983
1028,2315425.748734402
1029,2323877.0840550135
1030,2348679.9365160745
1031,2222879.181372684
1032,2097275.2325685024
1033,2020556.5482638343
1034,2012225.3360020209
1035,1960655.5599353476
1036,1974327.0303550481
1037,2050630.061166873
1038,2386182.6201299024
1039,2620035.682803139
1040,2592456.3787268484
1041,2384083.749952533
1042,2214010.322525007
1043,2142959.8397401106
1044,2118086.273817327
1045,2071373.4103719168
1046,2076967.6211330115
1047,2137266.235763548
1048,2207239.1418559244
1049,2374237.72956768
1050,2536167.9216613877
1051,2451733.714323927
1052,2344030.3714725436
1053,2381848.866359679
1054,2277365.9241810534
1055,2054562.6710816885
1056,1942641.4692305683
1057,1945248.4029913254
1058,1924837.636783103
1059,1959954.8751062308
1060,1968045.2335363035
1061,2057769.9981072005
1062,2338737.219917997
1063,2541058.3845925503
1064,2589441.8636047696
1065,2595936.1966634956
1066,2577690.430426918
1067,2567298.1270768107
1068,2525275.202203907
1069,2536112.4000447043
1070,2533872.0216629747
1071,2568526.539143366
1072,2621540.6848000214
1073,2702508.839633766
1074,2873252.878514781
1075,2760771.3437589766
1076,2611252.268877157
1077,2531396.1246344415
1078,2301494.481009241
1079,2043635.5719315256
1080,1850635.4051390407
1081,1722787.870187338
1082,1636436.83776596
1083,1624427.4071544087
1084,1633505.431363637
1085,1683254.1595191597
1086,2022680.188172934
1087,2260138.0752586424
1088,2305475.2613581535
1089,2142214.2353200503
1090,2053660.82374975
1091,2026122.669623042
1092,2001384.153292642
1093,1968252.4840896027
1094,1934840.423426021
1095,2008599.3766381156
1096,2065313.0621833703
1097,2220819.1992403762
1098,2505088.718801632
1099,2466956.3974952586
1100,2332203.3995648413
1101,2299470.5605069413
1102,2146907.4089821293
1103,1934817.331944421
1104,1766977.6109870546
1105,1733977.946688469
1106,1698126.3898557832
1107,1709054.446811572
1108,1756943.9807811459
1109,1813382.0091830946
1110,2131397.302410904
1111,2277046.495386134
1112,2286624.808042372
1113,2089820.7524020334
1114,1941891.8459501872
1115,1885441.392038127
1116,1903548.4237157966
1117,1973183.5371695897
1118,2020601.5749471993
1119,2091285.5691708042
1120,2148271.452500108
1121,2273569.00967384
1122,2408525.5011089374
1123,2328579.1967475987
1124,2193015.096814193
1125,2150770.122139953
1126,2050970.4308209775
1127,1827994.789328215
1128,1680702.0381572982
1129,1616048.5976975036
1130,1612458.4795927387
1131,1627051.0170541478
1132,1674051.1304931224
1133,1756627.4603603364
1134,1979922.6042171088
1135,2215606.7910737493
1136,2288873.959804486
1137,2211571.620346831
1138,2193353.3380975253
1139,2202208.145594049
1140,2147103.50971358
1141,2146122.1301248926
1142,2104564.8413194045
1143,2098591.535792104
1144,2069740.542975385
1145,2212156.6360465507
1146,2394977.7729400042
1147,2317293.332868896
1148,2154241.819598326
1149,2115784.9505007095
1150,2013700.1584737792
1151,1805691.0501019456
1152,1574880.8602771512
1153,1456254.3780145445
1154,1342985.9871611916
1155,1272609.6553864477
1156,1269277.8326073012
1157,1221396.4933073833
1158,1211627.655601485
1159,1314826.9541117977
1160,1411359.9371992345
1161,1392615.5330715675
1162,1328621.4575742264
1163,1262289.342805998
1164,1186729.3238782992
1165,1165230.7200737211
1166,1032271.8975745024
1167,1058642.4630335732
1168,1168533.0452941451
1169,1361915.7864254392
1170,1536699.4288096577
1171,1458528.414103101
1172,1307317.782059189
1173,1265441.1325941542
1174,1263305.9137696596
1175,1148295.6647329465
1176,1080953.0199055232
1177,1049854.3961620128
1178,1004876.4631163172
1179,993127.4486193854
1180,1001184.0645717822
1181,971382.0684606268
1182,903323.4599143917
1183,929425.2144560888
1184,993505.5501599032
1185,970563.0323745902
1186,898195.7260450837
1187,862516.6145079122
1188,871733.2698646468
1189,858133.4840995889
1190,891645.8091940172
1191,1004818.05459308
1192,1134318.1039377274
1193,1299202.4105208775
1194,1578788.3820017749
1195,1570149.7162853663
1196,1505338.7234794449
1197,1528790.210508225
1198,1590567.5427815851
1199,1496846.609329539
1200,1351262.7143258455
1201,1255369.2838833972
1202,1213072.687939895
1203,1231046.2758644472
1204,1276074.0765030067
1205,1293397.472691113
1206,1501006.9127791633
1207,1666455.255272327
1208,1683936.7903864093
1209,1616004.2544136785
1210,1537797.7396514413
1211,1488033.4962246343
1212,1421491.730814523
1213,1407034.9758680072
1214,1459333.9663105006
1215,1568055.4941945376
1216,1699992.9114324981
1217,1841964.7572428274
1218,2104203.8735482246
1219,2109016.625853781
1220,2001411.9884495041
1221,1973744.9681805156
1222,1886953.4389960016
1223,1687400.2230106783
1224,1506084.0937236724
1225,1369366.1106020007
1226,1321658.0432037194
1227,1304812.5564808592
1228,1347596.512568399
1229,1459505.8343132257
1230,1710218.9810117178
1231,1865510.9905068334
1232,1905319.6944862965
1233,1769040.2575377638
1234,1676098.9482957707
1235,1623198.9431023288
1236,1589824.414669963
1237,1617072.1858394055
1238,1634995.037745067
1239,1796384.8642388626
1240,1902748.7595569538
1241,1997347.2404434108
1242,2227760.257921621
1243,2189459.6641241135
1244,2067446.5728101442
1245,1982496.0152879895
1246,1852907.1468480926
1247,1657040.1592461166
1248,1489669.025555234
1249,1410105.1205828506
1250,1405371.7722931467
1251,1457877.1615624768
1252,1569299.4019193174
1253,1685298.3756809772
1254,2017996.9841013
1255,2261469.5688558337
1256,2199433.679924616
1257,1973148.7670992292
1258,1769221.7231167736
1259,1619766.1389272357
1260,1520075.1882703458
1261,1544295.9462131655
1262,1551361.615456003
1263,1702272.9603624446
1264,1894270.3510606177
1265,2052673.053713542
1266,2213097.8959912797
1267,2093212.8273402546
1268,1861554.3423279664
1269,1760249.5246936732
1270,1554908.2529213578
1271,1261595.605689308
1272,1136614.403040822
1273,1059939.5060595053
1274,1009056.9460208225
1275,1051775.4241638263
1276,1099830.4885903047
1277,1263441.4818888074
1278,1556226.28568829
1279,1822167.7684082265
1280,1921153.7517362544
1281,1924974.2550746142
1282,1908637.0137828428
1283,1873981.3897068324
1284,1878699.66323196
1285,1984271.197282115
1286,1976079.20489631
1287,2017994.86670851
1288,1995042.8429059684
1289,2072755.159465656
1290,2209305.826997424
1291,2139760.951863595
