,Objective Value
360,1079359.5058258509
361,1055384.408221572
362,1057886.2991496876
363,1078240.4068996971
364,1088417.5612048027
365,1060011.9975392763
366,1113088.0324565922
367,1197819.3094285643
368,1145113.6915174227
369,1000698.4897936514
370,950647.9841538679
371,911657.1594068406
372,788099.0436524756
373,714077.7235730086
374,779796.794085275
375,921339.8837916771
376,1135029.83052865
377,1394823.652519379
378,1525559.9772566142
379,1539638.1540113555
380,1510326.2881137666
381,1494586.029321721
382,1285078.6451102481
383,1181415.149497918
384,1123407.6932094356
385,1109630.0644025432
386,1129913.4601261637
387,1182066.8169704182
388,1407623.416099445
389,1798936.00293734
390,2034607.801019117
391,2088466.175788977
392,1998637.8331505563
393,1858888.9687901987
394,1736751.4794746246
395,1608105.0887387956
396,1535271.753250066
397,1395721.1978320922
398,1318907.5297364418
399,1322050.9246867425
400,1415446.415025896
401,1656407.2326915932
402,1926703.2094459678
403,2024473.6604783777
404,2039932.496634699
405,1899160.4081433935
406,1665607.7682154025
407,1567052.0514269003
408,1599630.2361131692
409,1595274.8567916844
410,1655037.6992052812
411,1712114.4061796498
412,1838828.983359583
413,2197259.7852226696
414,2321234.0853127507
415,2124965.514026682
416,1779473.0654558325
417,1478477.6744418563
418,1341325.300921396
419,1240565.6968652545
420,1141190.0033725312
421,1051909.6291466455
422,1077656.7983704214
423,1153626.7726789138
424,1359617.3721100823
425,1656579.416847075
426,1944416.9938841606
427,2081090.776466116
428,2055779.2397071864
429,1890326.9461541937
430,1639691.5205311272
431,1470429.3035708568
432,1400523.559330531
433,1367218.3386141756
434,1414736.2056302996
435,1486436.4775858175
436,1654164.7969960028
437,2075568.214392143
438,2235949.247950716
439,2164549.0228543757
440,1873585.1063614092
441,1633950.096637732
442,1502483.7098289733
443,1408258.7973817934
444,1390257.723667111
445,1321017.8863485449
446,1354422.190891376
447,1425717.9730183727
448,1515311.6955614996
449,1768686.3424134394
450,2011176.3762821888
451,2053758.339943548
452,1997878.684830493
453,1796812.8587589937
454,1548437.6104283538
455,1410546.6613334003
456,1335357.6260462143
457,1284629.6480596964
458,1361093.4069742297
459,1422411.0271696951
460,1524799.2788218816
461,1924242.5071665687
462,2183376.513787921
463,2171339.0603014757
464,1851708.6292681159
465,1582471.8253623163
466,1476250.854743696
467,1327245.2518882884
468,1226017.668048596
469,1129396.9938758176
470,1139909.0293694478
471,1189109.1027065306
472,1380539.8479613988
473,1729999.8227398815
474,2029606.742707919
475,2109771.388271335
476,2143452.591764618
477,1957342.1073291784
478,1708421.5237234507
479,1610141.869404914
480,1528462.8808212862
481,1515537.0639374217
482,1542049.4671352415
483,1591340.8835273597
484,1688442.120208347
485,1990389.6018499546
486,2109963.6453503817
487,2023121.3012771525
488,1626993.8701094282
489,1329025.3615802997
490,1207847.8050248972
491,1078670.0167123578
492,988266.4873794123
493,904544.2218440053
494,904374.7475219497
495,975681.6700371918
496,1149269.651665237
497,1441004.5375674486
498,1738290.3665128802
499,1858479.2388462867
500,1879421.1769515846
501,1763528.8591145892
502,1476522.8631962317
503,1297331.5120038828
504,1251098.9806180156
505,1240043.5005497476
506,1248995.3494373027
507,1258273.9076147103
508,1241395.9763480476
509,1283735.8444411934
510,1388262.4836659983
511,1442829.916318894
512,1315621.3243495112
513,1149209.4624896205
514,1070185.1010789522
515,1026495.2140233637
516,939055.2630670101
517,853577.6583964301
518,855776.263801069
519,920413.7562162789
520,1135037.2436941501
521,1454165.7410122782
522,1692409.7239764847
523,1714392.5571954832
524,1730141.2689136297
525,1641867.7476139148
526,1453008.5718652303
527,1272719.5636164541
528,1159561.9842920264
529,1127702.041041716
530,1108099.3446958861
531,1100983.2771429569
532,1095284.2849909465
533,1041451.1214566152
534,1075938.1683577928
535,1113759.8390476296
536,1072499.0994729334
537,966476.3015684385
538,810836.501173503
539,680453.0319572091
540,595343.171600808
541,523208.41957282723
542,540321.0381946326
543,632099.0182836538
544,867811.451992208
545,1275994.8003033507
