Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2186,114416.0,59667.76834324719,16074.0,265059.75979089347,124410.76248759315,123722.9006656201
2187,114416.0,73507.21250446688,16074.0,285222.8020328422,132613.31928061525,142177.4471308179
2188,114416.0,81666.4078401096,16074.0,305440.1324861109,132224.21800084278,152339.44962627185
2189,114416.0,81870.36377324104,16074.0,316209.2405342461,127053.12912503185,161159.23273625408
2190,138577.85919626054,78296.12729582099,16074.0,330358.04713138664,123726.68553419448,165600.0
2191,174064.0,80043.71021999171,16074.0,327497.1605562799,129198.25588617493,174598.21047150317
2192,174064.0,79045.6000429132,16074.0,291048.71560659166,131455.41879732866,187346.4449900779
2193,122794.89883842457,76996.0,16074.0,234589.48384785434,127849.9595073126,199010.94219785428
2194,111322.86270546756,17700.0,16074.0,208552.33839263854,136715.16327892386,217244.31950985492
2195,75577.50343565378,14990.24854667744,9824.544510296944,190311.18989750242,143667.52904548586,225325.34350722848
2196,92045.89608979243,0.0,2028.3292251097778,153183.82155384036,132956.82505746715,212117.02758399572
2197,75670.76508703628,0.0,0.0,114346.50803537067,119132.23404059024,191832.0177401478
2198,76116.12092639168,0.0,0.0,112901.6839105599,120122.12199711075,186232.64675551237
2199,84442.39684351531,0.0,1430.9196888718902,136527.19511865464,126065.8140262418,184263.4900778983
2200,111229.92833625687,3038.059993901802,16074.0,202893.67290435286,143732.5276555133,199308.04709411692
2201,164683.63366881997,76996.0,16074.0,300604.5133625507,176781.63284677907,235113.1610219066
2202,256021.48515064543,125655.0,35730.33097035862,373225.6854488953,232238.20704784966,258934.43185692176
2203,364047.7634266893,125655.0,30420.406688823125,398339.5425875889,288052.4104313327,281224.80956767447
2204,377263.17455695785,125655.0,46106.06743532333,393409.8210106808,306275.63130537735,282116.920285631
2205,364638.67024875554,125655.0,63021.38162769674,375474.1879587526,303052.73431589454,270161.8320627483
2206,322370.12492336653,125655.0,64873.39842079147,327584.337099982,265475.91581828264,238756.87003238802
2207,305822.61705208244,125655.0,58324.25029557589,301929.3127595896,241206.97722042326,218549.73526487206
2208,289483.28065140045,125655.0,60160.777792428154,284210.734388569,226467.23197144308,204658.7893870286
2209,280985.85805704386,125655.0,64999.22124518712,283811.37812665274,224041.69794553012,198567.14680414877
2210,284563.4216802962,125655.0,69013.03082386032,300600.7522126324,231937.0047492776,199197.24967700566
2211,315933.0924491173,125655.0,75131.01411899744,323509.93003136595,259187.39391982218,213410.6239518532
2212,373089.4118827832,125655.0,93144.39433158212,383131.30748108827,311617.908739519,245026.95428638294
2213,385489.0,152399.9254237337,152342.0,470621.13860882766,395430.0684973046,337296.6442551714
2214,385489.0,176167.38739092453,171956.51751507376,535065.3760892276,451300.79154308216,435800.32237393747
2215,385489.0,166292.89765757258,221484.18741489068,522859.70920473454,474666.1390650863,453948.4530653023
2216,385489.0,148990.27259009876,190285.58734507355,432970.6424892739,478224.30765263137,452152.6875106517
2217,385489.0,130781.41632223224,152342.0,357233.3416139002,472459.2596261248,437370.0772116655
2218,385489.0,130341.30899385267,152342.0,321132.1037451774,472400.3122091827,432245.09055100434
2219,385489.0,127564.10723245384,152342.0,301195.01714235975,459764.66527963534,425821.4678089429
2220,385234.6149010155,125655.0,152342.0,285604.11975140753,441607.59968538483,415872.6837629045
2221,381267.95252602623,125655.0,152342.0,284632.157877887,418515.0301127434,407393.2345934162
2222,385489.0,133388.45594960244,152342.0,308077.39016097,414797.0951493059,421369.518323016
2223,385489.0,134993.08976467734,167371.8147371142,350626.4056575161,411929.5146506505,435917.51282736025
2224,385489.0,140490.86789001248,185098.2265061841,413736.3036823022,419904.44208370533,446319.8299435253
2225,385489.0,160038.47758378362,237188.04560154234,501954.1031139715,438488.92440038,461166.0843031911
2226,385489.0,163115.97102283064,277259.5793279545,546953.1369094553,448198.41549402644,463851.0739876904
2227,385489.0,181041.62871639332,299838.1594637241,567256.8579548579,463355.2320644131,472121.9465347385
2228,385489.0,158461.75941170822,288785.5622268042,558424.053049058,443023.2292778657,459794.5697486383
2229,385489.0,126758.61762246705,247416.8151099824,524288.6435256973,396290.96531437675,429936.4548527217
2230,357348.5069584949,125655.0,202643.6832495218,478438.79272596794,342470.503312901,396558.141133256
2231,350036.72497668036,125655.0,165044.92986790184,451087.84170606226,309934.32114875305,377475.8964970802
2232,341884.3147213104,125655.0,152342.0,435409.2681887699,291040.9430612561,360597.9926603539
2233,346336.83760966366,125655.0,152342.0,434919.46653518925,288136.90435351315,351060.24928284204
2234,364368.45309753163,125655.0,152342.0,448252.18469259277,297407.14349494665,352488.22079319425
2235,381477.15144556534,125655.0,152342.0,466577.9595653866,313375.88509789045,369293.7503881783
2236,385489.0,150701.04223546927,172894.20826809012,504636.1066963241,351503.72302004986,414177.7337807643
2237,385489.0,188203.6721516201,263137.42412456527,577489.507137088,427953.7651613399,469051.00670309784
2238,418658.5887629852,181709.89515010698,300932.0,609110.9972816467,467816.9973470144,500844.35339506133
2239,462143.5415053231,152379.5280441958,300932.0,606771.4572883827,482955.29215060966,513812.91642164835
2240,387807.28193997435,171099.02873401632,300932.0,556518.7514602856,464609.7726745929,503505.2862034547
2241,385489.0,158601.7560103944,262354.95570580283,495819.0090660453,449304.990636449,496788.09031675087
2242,385489.0,131012.61020841383,220921.53891735472,434764.934947633,430291.89483584784,484410.621722816
2243,349596.78595021577,125655.0,196632.5502322553,385194.07267888566,402276.2453376206,466884.12123451114
2244,330478.92354812555,125655.0,182441.3224275963,350202.3722109749,370986.33145930554,450892.4824117986
2245,320438.9368926226,125655.0,162649.4196210658,334048.33779818425,344234.87634775136,440975.74814276374
2246,281871.40799905616,125655.0,156418.74066757938,349691.1040955252,342765.2192606088,445140.5297517074
2247,263654.56570058176,125655.0,152342.0,362648.2634770552,331707.4964830255,420263.8243314735
2248,271217.63808999816,125655.0,152342.0,384317.4246687276,342376.5588276767,402964.73882372584
2249,294175.2395101589,125655.0,171238.3351582306,400654.3776097864,363061.2340838993,465478.86064789875
2250,380447.9742879326,125655.0,211078.04839654107,418128.18900493707,397736.7195568609,477658.57586231164
2251,385489.0,143233.7110456276,236266.58489712497,409922.8565829559,420170.7509111501,482149.7340722145
2252,383797.3772410777,125655.0,224656.04736023745,379980.7695487816,410585.7115521026,471224.3283344547
2253,334549.49936339684,125655.0,205009.6946050814,320999.4944045594,363972.4527933125,435414.5597805657
2254,289102.18020411,125655.0,181346.69101035642,262178.32768158393,314147.39173681306,398016.4562241525
