,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2098,1408.8558175848984,2463.3937184862984,8656.495336554615,4023.063136506279,1727.652908710309,1643.9534999999998
2099,1421.8814299348055,2692.700888234015,8613.212172325304,4004.8625824055,1719.7843784254019,1603.4444999999998
2100,1421.8936162459865,2627.11669123532,8497.02992211683,3732.6002798159143,1628.5296014027836,1508.22
2101,1402.729056319938,2416.3328982383637,8124.50228768903,3378.838512892036,1501.8884192583735,1403.0729999999999
2102,1376.5182085822707,2308.6797517398877,7572.218632413001,3053.413508252661,1489.2444431818183,1300.7925
2103,1337.1267432499758,2174.5705936167906,7370.726782430991,2210.1327220126873,1505.0016876903,1185.9435
2104,1296.2126887671498,1970.7863627446718,7796.425276297388,1209.41645276912,1550.9089450848194,1161.4995
2105,1273.1880455677726,1840.5513919965206,8573.345285703306,741.1810730934769,1571.8728242714224,1188.432
2106,1251.04452,1594.533,9482.499362999999,693.66,1610.5095,1269.4185
2107,1256.6155800000001,1586.9552999999999,10165.2448755,772.464,1673.9535,1429.974
2108,1259.36316,1582.9956000000002,10658.164660499999,906.1139999999999,1710.0030000000002,1642.788
2109,1263.67428,1553.3481,11197.543974000002,1200.408,1721.94,1899.9225
2110,1265.04048,1516.7259,11522.409083999999,1381.7759999999998,1725.0149999999999,2143.9215000000004
2111,1260.9115199999999,1458.8781,11693.715487500001,1695.8700000000001,1725.3075000000001,2358.8145
2112,1249.19256,1385.895,11664.064186500002,1998.15,1724.4975,2534.994
2113,1222.3998600000002,1322.0574000000001,11478.721941,2234.826,1723.8,2657.8125
2114,1175.7365399999999,1265.9784,11256.537801,2386.56,1723.3725,2716.4024999999997
2115,1137.42222,1260.6117000000002,11006.223050999999,2447.346,1723.485,2795.2155
2116,1111.67694,1324.8714,10835.889823500003,2386.8900000000003,1725.06,2813.706
2117,1069.7497799999999,1354.1772,10796.316253500001,2320.758,1725.9599999999998,2822.7464999999997
2118,1026.6876084071228,1714.2207889952156,10794.673905903133,2531.8914147837218,1754.9181777403217,2803.0589999999997
2119,1032.175511694074,2998.7823469769523,11078.72055656297,3167.575233020225,1869.708212266203,2780.6625
2120,1121.9701842561062,4599.357011581121,11839.155819462447,3974.9474342781537,1908.8823869073508,2758.4235
2121,1209.078900326944,4637.475785330576,12223.43823128253,4552.975629547214,1934.1858935950409,2754.486
2122,1237.4372734708572,5352.289547694644,12386.881319388798,4940.972893917173,2015.1282867551108,2739.618
2123,1272.4936979351953,6746.3111491735535,12533.324470314628,4904.428675517771,2061.867918660287,2721.663
2124,1259.3965631799163,7395.025185287078,12541.977954862334,4628.976315158224,2107.7193097542413,2698.983
2125,1211.7726941772896,7168.629711537619,12391.36975797673,4243.550655320645,2054.782980100043,2662.506
2126,1131.36273570108,6106.748342551106,11996.991694784389,3792.192155231476,1951.982566713788,2615.004
2127,1027.8396389238108,4635.1989380709065,11270.73519301567,3150.974330771871,1708.1340773162244,2573.7075
