Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2161,129688.37478426089,27502.280793063634,0.0,217666.3594268023,146239.88720599018,146069.00823391197
2162,126103.18208817202,28576.181158299,0.0,226302.6059119708,144045.16763077702,143243.1888878549
2163,121504.93374262135,32057.930476829883,32.5738837293971,218074.2987392116,140143.06075852652,140994.05728560805
2164,118950.91287482766,36135.56930259478,0.0,209729.06452120753,137874.57550825836,140983.5146056157
2165,130145.10692928817,41750.243770412235,740.2116157619511,224933.25216097062,147123.93738821778,150419.84004732926
2166,161822.03953042405,43049.68193136349,3981.0324753799696,264308.7434992167,166594.1614535553,170776.26902845653
2167,181538.82936632092,79309.60616223843,1582.3705363339727,282314.945953676,191915.62930709627,198531.5877599587
2168,191946.27755256835,67983.74639793149,1094.3116822587479,240646.23812185624,215551.5028459477,216654.39623719512
2169,182556.0859364316,17700.0,0.0,119531.88324293819,216324.63834800117,218185.81321007328
2170,168610.05638296087,17700.0,0.0,42680.407790447534,201537.87206818178,208177.5772551345
2171,137142.6316398346,17084.406037482036,0.0,12508.151606155132,177439.30644198225,190084.9556232544
2172,109940.71230680376,5152.475686348501,0.0,0.0,167334.20274262832,178659.74255721868
2173,84984.7641361338,0.0,0.0,0.0,154697.1471974936,164755.887750234
2174,90241.66544328543,0.0,0.0,0.0,153928.1676470673,165388.47474756208
2175,96163.51548818231,6690.9509358562,0.0,15034.851953148383,149861.4418382278,163236.89776824723
2176,100746.91024602889,17700.0,0.0,110172.03175839492,153842.88408798148,166097.0908704592
2177,150110.75168598228,17700.0,12967.023672858304,273220.2858650753,174383.21313550632,183782.30466891738
2178,181226.54801082076,80057.77754681444,12075.062294948648,364246.2247467437,193348.03837714164,197180.4290496268
2179,200931.76760485885,100052.54642177353,13497.272177894867,393122.308101847,201828.94808083368,201680.4170600906
2180,201364.20872203796,102181.40827156401,14976.331003735057,413781.30217142624,202676.9822467658,202172.84109123785
2181,178864.32280639984,101297.2066630006,14539.243286244884,398871.66548760724,180490.4505055978,184936.51130936053
2182,157027.8075544422,76996.0,16074.0,357469.4384456424,161630.97438777468,165600.0
2183,128747.5949163112,53931.31881381139,16074.0,306432.5091326188,138871.95115520182,151537.79808890107
2184,114416.0,47146.21435062685,16074.0,268945.8826183396,126124.21337535468,133411.27821523978
2185,114416.0,45141.206920605175,16074.0,259630.6885799218,123093.0793290754,129040.60660109442
2186,114416.0,38369.79733833363,16074.0,265059.75979089347,124410.76248759315,144411.7014259247
2187,120000.72507642985,43843.22757073527,16074.0,285222.8020328422,132613.31928061525,165600.0
2188,114820.64293711152,67566.98536805867,16074.0,305440.1324861109,132224.21800084278,165600.0
2189,114672.16864393238,76996.0,16074.0,316209.2405342461,127053.12912503185,165600.0
2190,139872.77625712633,76996.0,16074.0,330358.04713138664,123726.68553419448,165600.0
2191,174064.0,80043.71021999171,16074.0,327497.1605562799,129198.25588617493,174598.21047150317
2192,174064.0,79045.6000429132,16074.0,291048.71560659166,131455.41879732866,187346.4449900779
2193,122794.89883842457,76996.0,16074.0,234589.48384785434,127849.9595073126,199010.94219785428
2194,84906.61437935605,57697.44752233579,12979.799678210016,208552.33839263854,136715.16327892386,217244.31950985492
2195,74971.30994004643,24365.328089396986,5634.377750702702,190311.18989750242,143667.52904548586,225325.34350722848
2196,89834.01187694227,42.73325719270831,2533.118860854247,153183.82155384036,132956.82505746715,212117.02758399572
2197,58330.652518179966,14512.398744935956,0.0,114346.50803537067,119132.23404059024,191832.0177401478
2198,61431.244865076354,15525.25498488816,0.0,112901.6839105599,120122.12199711075,186232.64675551237
2199,70287.42898112506,17700.0,0.0,136527.19511865464,126065.8140262418,184263.4900778983
2200,105781.847233203,17700.0,2629.0750894997595,202893.67290435286,143732.5276555133,199308.04709411692
2201,156565.7475817049,88689.00158711527,15228.846398013357,300604.5133625507,176781.63284677907,235113.1610219066
2202,259020.47540699923,125655.0,32822.82267451196,373225.6854488953,232238.20704784966,258934.43185692176
2203,376324.7439649935,125655.0,18601.314771461228,398339.5425875889,288052.4104313327,281224.80956767447
2204,385489.0,127458.66113549899,37098.45572574418,393409.8210106808,306275.63130537735,282116.920285631
2205,366068.313162987,125655.0,61645.05941560334,375474.1879587526,303052.73431589454,270161.8320627483
2206,330141.66408785165,125655.0,57391.71060367328,327584.337099982,265475.91581828264,238756.87003238802
2207,325612.76741947886,125655.0,39258.494230944154,301929.3127595896,241206.97722042326,218549.73526487206
2208,311549.07489715796,125655.0,38793.2703611726,284210.734388569,226467.23197144308,204658.7893870286
2209,312022.06086559955,125655.0,34938.15351775613,283811.37812665274,224041.69794553012,198567.14680414877
2210,313649.15939457854,125655.0,40853.98239020939,300600.7522126324,231937.0047492776,199197.24967700566
2211,328240.3781752359,125655.0,63282.74729179241,323509.93003136595,259187.39391982218,213410.6239518532
2212,377482.570497343,125655.0,88868.01244508293,383131.30748108827,311617.908739519,245026.95428638294
2213,385489.0,165359.76260149342,152342.0,470621.13860882766,395430.0684973046,329294.05780514027
2214,385489.0,179968.90840631156,169606.65599090027,535065.3760892276,451300.79154308216,435800.32237393747
2215,385489.0,171634.24911663542,218182.49942475813,522859.70920473454,474666.1390650863,453948.4530653023
2216,385489.0,141147.7289336023,195133.35525572277,432970.6424892739,478224.30765263137,452152.6875106517
2217,370625.0495843307,125655.0,160597.8925363597,357233.3416139002,472459.2596261248,446928.6921776415
2218,372253.4541716565,125655.0,152342.0,321132.1037451774,472400.3122091827,448175.29903716745
2219,364163.02860284335,125655.0,152342.0,301195.01714235975,459764.66527963534,448005.5058543305
2220,360706.3366674385,125655.0,152342.0,285604.11975140753,441607.59968538483,440032.00170160184
2221,359331.8346736625,125655.0,152342.0,284632.157877887,418515.0301127434,428999.3840544297
2222,382513.0978509751,125655.0,152342.0,308077.39016097,414797.0951493059,429075.99784667033
2223,385489.0,130091.78334965756,170401.49451955443,350626.4056575161,411929.5146506505,435917.51282736025
2224,385489.0,133047.30989539728,189699.3665403184,413736.3036823022,419904.44208370533,446319.8299435253
2225,385489.0,147349.52261598426,245059.42678683784,501954.1031139715,438488.92440038,461166.0843031911
2226,385489.0,159552.00864864723,279470.42383393936,546953.1369094553,448198.41549402644,463851.0739876904
2227,385489.0,179735.78709959937,300648.2164904447,567256.8579548579,463355.2320644131,472121.9465347385
2228,385489.0,156729.47486803913,289860.15599746676,558424.053049058,443023.2292778657,459794.5697486383
2229,384996.25319363945,125655.0,248588.99440907425,524288.6435256973,396290.96531437675,429936.4548527217
2230,357819.456443737,125655.0,202179.33268556476,478438.79272596794,342470.503312901,396558.141133256
2231,364153.684728724,125655.0,152342.0,451087.84170606226,309934.32114875305,376260.9436376721
2232,371992.0515749051,125655.0,152342.0,435409.2681887699,291040.9430612561,330943.1436679404
2233,372140.2973193159,125655.0,152342.0,434919.46653518925,288136.90435351315,325644.93145631463
2234,381084.9978377541,125655.0,152342.0,448252.18469259277,297407.14349494665,336023.13036289066
2235,385489.0,131262.79192471819,152342.0,466577.9595653866,313375.88509789045,361879.4864155456
2236,385489.0,158778.8153464647,167901.03628306065,504636.1066963241,351503.72302004986,414177.7337807643
2237,385489.0,195099.31665656815,258859.82628026084,577489.507137088,427953.7651613399,469051.00670309784
2238,422020.1222763644,177745.60037145542,300932.0,609110.9972816467,467816.9973470144,500844.35339506133
2239,467056.7593313897,146666.26092814028,300932.0,606771.4572883827,482955.29215060966,513812.91642164835
2240,400960.87948561984,155586.84125674007,300932.0,556518.7514602856,464609.7726745929,503505.2862034547
2241,385489.0,145076.86058641007,270744.89858475555,495819.0090660453,449304.990636449,496788.09031675087
2242,378285.238548401,125655.0,231344.74753588098,434764.934947633,430291.89483584784,484410.621722816
2243,340295.689083391,125655.0,205803.3205820918,385194.07267888566,402276.2453376206,466884.12123451114
2244,344738.2981793713,125655.0,168381.7494602543,350202.3722109749,370986.33145930554,450892.4824117986
2245,340865.7897755854,125655.0,152342.0,334048.33779818425,344234.87634775136,431152.80999001954
2246,321262.66650559567,125655.0,152342.0,349691.1040955252,342765.2192606088,410233.8149581871
2247,276977.1779040289,125655.0,152342.0,362648.2634770552,331707.4964830255,407049.0315669005
2248,291362.8536416285,125655.0,152342.0,384317.4246687276,342376.5588276767,382982.5578034326
2249,326614.8997928315,125655.0,152342.0,400654.3776097864,363061.2340838993,452308.78820505034
