Time Step,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
2161,0.0,7796.752893692843,172237.42956494368,0.0,0.0,0.0
2162,0.0,7260.395676317308,162253.7419077175,0.0,0.0,0.0
2163,0.0,6341.727090428434,159732.26660283498,0.0,0.0,0.0
2164,0.0,4303.449221705127,162381.82123892574,0.0,0.0,0.0
2165,0.0,1192.255727588398,139581.1243320019,0.0,0.0,0.0
2166,0.0,0.0,132134.47929342487,0.0,0.0,0.0
2167,0.0,1.5199885703842142,114444.04809785684,0.0,0.0,0.0
2168,0.0,0.0,107008.0224530918,0.0,0.0,0.0
2169,0.0,8786.821406892383,141447.53700405103,0.0,0.0,0.0
2170,0.0,11465.00266772452,154088.5289402471,0.0,0.0,0.0
2171,0.0,21126.44423259842,186134.25475768757,0.0,0.0,0.0
2172,0.0,17653.16737489258,221715.04013517825,0.0,0.0,0.0
2173,0.0,19212.324863878363,260377.49998649227,0.0,0.0,0.0
2174,0.0,16402.363976620178,321076.5701395443,2.3646862246096134e-10,0.0,0.0
2175,0.0,17965.35920690736,235465.12299317034,0.0,0.0,0.0
2176,0.0,25019.87123834591,97703.13345618374,0.0,0.0,0.0
2177,0.0,5665.246462912963,47440.04917471005,0.0,0.0,0.0
2178,0.0,0.0,28024.08306854529,0.0,0.0,0.0
2179,0.0,0.0,25181.042663814624,0.0,0.0,0.0
2180,0.0,0.0,22404.338872125572,0.0,0.0,0.0
2181,0.0,1269.6798628302345,19941.780932346854,0.0,0.0,0.0
2182,0.0,0.0,18291.789570698613,0.0,0.0,0.0
2183,0.0,1470.5793474775355,18417.080119672173,0.0,0.0,0.0
2184,0.0,2788.675644989242,15484.843558911198,0.0,0.0,0.0
2185,0.0,2561.2300380780916,13297.982542236516,0.0,0.0,0.0
2186,0.0,792.345753962465,9712.146587129959,0.0,0.0,0.0
2187,0.0,0.0,6808.154324279289,0.0,0.0,0.0
2188,0.0,0.0,1179.326745650878,0.0,0.0,0.0
2189,0.0,0.0,0.0,0.0,0.0,0.0
2190,0.0,0.0,0.0,0.0,0.0,0.0
2191,0.0,0.0,1.404032445861958e-10,0.0,0.0,0.0
2192,0.0,0.0,-2.845013113983441e-09,0.0,0.0,0.0
2193,0.0,7.02016222930979e-11,-4.433786671143025e-11,0.0,0.0,0.0
2194,0.0,3620.0638411602517,13984.946083455756,0.0,0.0,0.0
2195,0.0,13648.008095563435,33812.78164668829,0.0,0.0,0.0
2196,0.0,3078.2849002797634,46622.34268860555,0.0,0.0,0.0
2197,0.0,3195.8668625241326,83685.49852696678,0.0,0.0,0.0
2198,0.0,2969.7024689390114,76712.24905572813,0.0,0.0,0.0
2199,0.0,3061.50921722053,49424.45906152584,0.0,0.0,0.0
2200,0.0,0.0,31990.3829789577,0.0,0.0,0.0
2201,0.0,0.0,1016.506558353621,0.0,0.0,0.0
2202,0.0,0.0,0.0,0.0,0.0,0.0
