Time Step,37->65,49->68,37->39,47->68,25->47,65->68,83->25,24->25,47->73,47->72,9->10,55->119,89->120
2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.79064692640372,0.0,0.0,-9.094947017729282e-13,0.0,0.0
2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.40749534525253,0.0,0.0,-9.094947017729282e-13,0.0,0.0
2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.16412159317451,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.69062648596014,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676492123278493,-1.7053025658242404e-12,-4.547473508864641e-13,0.0
2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1338226189132001,-7.958078640513122e-13,-4.547473508864641e-13,0.0
2167,0.0,1.7083575016840769e-06,0.0,0.04427150011008507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2168,0.0,0.0,0.0,0.11260992651378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306774886202547,0.0,-2.2737367544323206e-13,0.0
2170,0.0,0.0,0.0,0.0,0.05370888379007965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.63236978863574,0.0,0.0,0.0,4.547473508864641e-13,0.0
2172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.09796886385186,0.0,0.0,0.0,-6.821210263296962e-13,-9.094947017729282e-13
2173,0.0,0.05308182176167975,0.0,0.0,0.0,0.0,0.0,241.63691654144407,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.821210263296962e-13,0.0
2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27000423252207,0.0,0.0,0.0,0.0,0.0
2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.9167045626474,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1390498202129,0.0,0.0,0.0,6.821210263296962e-13,0.0
2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07781500394489171,0.0,0.0,9.094947017729282e-13
2179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015704816823784995,0.0,-6.821210263296962e-13,0.0
2180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178099906925695,0.0,6.821210263296962e-13,0.0
2181,0.0,0.9559007535163317,0.0,0.8979622198274058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,0.0,1.4210854715202004e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8147507564361547,9.094947017729282e-13,-2.2737367544323206e-13,0.0
2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5779556511670307,-9.094947017729282e-13,-2.2737367544323206e-13,0.0
2184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9093495667504357,-7.958078640513122e-13,-2.2737367544323206e-13,0.0
2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.608308542020339,1.1368683772161603e-13,0.0,0.0
2186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2998674536758585,-9.094947017729282e-13,-6.821210263296962e-13,0.0
2187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593155289224399,-1.7053025658242404e-12,-2.2737367544323206e-13,0.0
2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04097698822724283,9.094947017729282e-13,-4.547473508864641e-13,0.0
2189,0.0,1.8474111129762605e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040181859499284656,0.0,-2.2737367544323206e-13,0.0
2190,0.0,1.2789769243681803e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01516534319080165,0.0,0.0,0.0
2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.907985046680551e-13,0.0,0.0,-4.547473508864641e-13,0.0
2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-12,0.0,0.0,9.094947017729282e-13,0.0
2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.54972490242744,0.0,0.0,0.0,0.0,0.0
2195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.32049685033303,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2196,0.0,0.35837863293706107,0.0,0.0,0.0,0.0,0.0,168.18341766725757,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2197,0.0,0.3720677046936771,0.0,0.0,0.0,0.0,0.0,167.82160123700635,0.0,0.0,0.0,0.0,0.0
2198,0.0,0.3457373003230373,0.0,0.0,0.0,0.0,0.0,161.56756846802955,0.0,0.0,0.0,-4.547473508864641e-13,0.0
2199,0.0,0.35642558227530685,0.0,0.0,0.0,0.0,0.0,163.8030329232513,0.0,0.0,0.0,4.547473508864641e-13,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.55083200621232,0.0,0.0,0.0,0.0,0.0
2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040052408219082736,-9.094947017729282e-13,0.0,0.0
2202,0.0,2.617396417508985,0.0,1.5715904814141766,0.0,0.0,0.0,0.0,0.0,0.6541738630320992,1.1368683772161603e-13,0.0,0.0
2203,0.0,0.8561182017109843,0.0,0.6481694115766459,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.547473508864641e-13,0.0
2204,0.0,0.7941478942234816,0.0,0.5821736923896026,0.0,0.0,0.0,0.0,0.035237882127006515,0.0,-7.958078640513122e-13,0.0,-4.547473508864641e-13
2205,0.0,0.6686812905428994,0.0,0.4901966734145162,0.0,0.0,0.0,0.0,0.029670685609247016,0.0,0.0,-4.547473508864641e-13,0.0
2206,0.0,0.3732618035108004,0.0,0.2203328533107083,0.0,0.0,0.0,0.0,0.05393072464349302,0.052753036180860136,0.0,-2.2737367544323206e-13,0.0
2207,0.0,0.3476864586797461,0.0,0.2052359731909803,0.0,0.0,0.0,0.0,0.05023547142741336,0.049138476430357514,0.0,2.2737367544323206e-13,-1.1368683772161603e-13
2208,0.0,0.2950297937300945,0.0,0.17415325021980266,0.0,0.0,0.0,0.0,0.042627374185087774,0.04169651766295601,0.0,2.2737367544323206e-13,0.0
2209,0.0,0.20082663061640815,0.0,0.1185460288952811,0.0,0.0,0.0,0.0,0.02901643193862924,0.02838279837715163,0.0,-2.2737367544323206e-13,0.0
2210,0.0,0.021098132477320064,0.0,0.012454024720625512,0.0,0.0,0.0,0.0,0.00304836327345015,0.0029817959821230033,0.0,0.0,2.2737367544323206e-13
2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0
2213,0.0,0.797251563949537,0.0,0.603601320531368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13,0.0
2214,0.0,1.9715984776958635,0.0,1.492702552753542,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0
2215,0.0,2.6599097699985066,0.0,2.013824898268183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,0.0,2.892667941082337,0.0,2.1900467406368023,0.0,0.0,0.0,0.0,3.694822225952521e-13,0.0,0.0,0.0,0.0
2217,0.0,2.0591675444377273,0.0,1.5590013305969705,0.0,0.0,0.0,0.0,2.1316282072803006e-13,0.0,-7.958078640513122e-13,0.0,0.0
2218,0.0,1.8988356406204225,0.0,1.4376136115328393,1.1368683772161603e-13,0.0,0.0,0.0,3.979039320256561e-13,0.0,-9.094947017729282e-13,-2.2737367544323206e-13,0.0
2219,0.0,1.6158469902616446,0.0,1.2233621371234449,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
2220,0.0,1.2172689622439918,0.0,0.9215976315083765,0.0,0.0,0.0,0.0,0.0,0.0,-7.958078640513122e-13,1.1368683772161603e-12,0.0
2221,0.0,0.754474332832288,0.0,0.5712145628770884,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
2222,0.0,0.6037381931960084,0.0,0.45709182289107275,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
