Time Step,1,2,3
1,-2373.83716675301,887.1786999999994,1486.6584667530092
2,-2395.3482341785098,545.7695604780847,1849.5786737004237
3,-2169.23079412042,14.616506620931872,2154.6142874994894
4,-2311.367633624135,-415.88010000000014,2727.247733624134
5,-2935.7972094999977,-326.0801000000002,3261.8773095000015
6,-2476.6078545893392,-166.28550000000007,2642.8933545893387
7,-2577.6893586032206,-80.81379999999986,2658.503158603218
8,-2870.6246536149456,-69.77560000000007,2940.400253614946
9,-3208.952520916814,44.899467746846625,3164.0530531699696
10,-3901.017975995627,2284.5540518377597,1616.4639241578634
11,-5471.554235274777,3876.9093306872555,1594.6449045875227
12,-6194.636407059094,4515.829157177031,1678.8072498820661
13,-6198.117473436023,4382.728862179203,1815.3886112568212
14,-5118.31171834123,3119.11939352591,1999.1923248153216
15,-4620.518220901042,1971.309490470523,2649.2087304305196
16,-3851.5377137003957,1448.9591142453257,2402.5785994550715
17,-3885.034034395251,1488.2252388952525,2396.8087955000005
18,-4151.2043835,1168.4945000000005,2982.7098835
19,-4915.688319999999,837.0556882811653,4078.6326317188395
20,-5010.855450182171,1086.393604279231,3924.4618459029402
21,-5148.304308522038,1125.0967952615636,4023.2075132604737
22,-5005.765144274303,728.1953921583644,4277.569752115939
23,-5330.150662601686,459.1134999999997,4871.037162601686
24,-5203.340937903575,641.5273000000004,4561.813637903575
25,-5351.019323309314,717.7507,4633.268623309313
26,-5355.162090799489,673.4514000000004,4681.710690799491
27,-5316.442343760936,599.0280999999995,4717.414243760934
28,-5177.105878623777,500.5583999999998,4676.547478623774
29,-5297.45393187697,270.1282999999997,5027.325631876965
30,-5191.432676335797,914.0653243096949,4277.367352026104
31,-4532.226121180136,293.43298284054526,4238.793138339593
32,-4616.238004635571,449.1207054213588,4167.117299214212
33,-4694.560937096763,1201.5971091996034,3492.9638278971606
34,-4622.147809426405,1213.2949425549348,3408.852866871468
35,-4864.08585348757,1531.5486849411416,3332.5371685464297
36,-5106.657137569366,1827.653061109745,3279.004076459624
37,-6003.906130620702,2589.5491969151294,3414.3569337055774
38,-6046.439660927633,1997.426729277396,4049.0129316502403
39,-5793.770818780632,2517.0699798604737,3276.7008389201587
40,-5485.326575206362,2192.0831696629193,3293.2434055434414
41,-5125.2879166497305,1663.8538592873829,3461.4340573623504
42,-5081.214592098357,1633.0869794073087,3448.127612691048
43,-5146.306581365027,1660.9604124075843,3485.3461689574497
44,-5219.662433567766,1663.7492293343835,3555.9132042333868
45,-5211.147772043558,1603.5500384639759,3607.5977335795833
46,-4830.59980103841,1371.8400012384527,3458.759799799956
47,-4238.899235353141,718.049434079436,3520.8498012737064
48,-4518.778068266414,932.2262758706831,3586.551792395727
49,-4553.749850555801,650.3084859914972,3903.4413645643003
50,-4888.449722564145,850.7101170529734,4037.7396055111685
51,-4944.345278030408,906.6636279889749,4037.6816500414316
52,-4690.010342161491,828.8363591241061,3861.17398303739
53,-4438.248763741035,730.4941432149606,3707.754620526076
54,-4499.398659377678,1521.0750646592362,2978.323594718447
55,-4354.637119217347,1255.7641348676195,3098.8729843497244
56,-4726.449846485164,1557.8111882543412,3168.6386582308196
57,-4732.440125951146,1603.0368187487918,3129.403307202355
58,-4638.085147317848,1632.3447610097794,3005.740386308067
59,-4092.589156094325,1444.8799414311738,2647.7092146631453
60,-3767.1845952047324,1427.6731490520872,2339.511446152639
61,-3631.877220247713,1626.9730020924048,2004.9042181553095
62,-2963.825987195787,1301.027198986616,1662.7987882091716
63,-2121.387104802193,945.0358006645831,1176.3513041376077
64,-1913.7601998148943,756.840381372336,1156.919818442558
65,-2039.496498438589,486.2341999999999,1553.2622984385912
66,-1903.7244631313897,517.9657999999997,1385.7586631313907
67,-1621.4107155749339,627.2095000000003,994.2012155749303
68,-1432.0974625557037,711.1647260557061,720.9327364999995
69,-2004.4383337344343,841.195676234438,1163.242657499999
70,-2857.851212608025,1082.0615396080268,1775.7896729999989
71,-4200.1632574012365,1461.3146869855195,2738.8485704157147
72,-4464.711919214468,1099.6058937053726,3365.1060255090943
73,-4574.170955585905,758.4086579021416,3815.762297683765
74,-4814.070158947892,854.0320195732413,3960.038139374651
75,-4529.2728912503135,705.9074852389942,3823.365406011322
76,-4315.998465077279,697.2150097443221,3618.783455332956
77,-4451.814875518114,1137.7030289674872,3314.111846550629
78,-4068.348003485073,1185.8584999999996,2882.489503485073
79,-3131.6967906680347,1106.9081786680345,2024.788611999999
80,-2213.72547107857,755.8793954848385,1457.8460755937326
81,-2163.507292534787,845.8763772469363,1317.6309152878544
82,-3793.410323940005,2888.6804350706498,904.7298888693552
83,-4349.139023052477,3532.378289406917,816.7607336455594
84,-6113.575023006982,4266.608598194863,1846.9664248121212
85,-5575.452928222906,4588.128660939538,987.3242672833726
86,-6151.683955336048,4343.259956317959,1808.4239990180881
87,-4011.0140035653812,3291.568560437758,719.4454431276247
88,-2512.1590297693874,979.2383224579871,1532.9207073114023
89,-3018.154615697188,312.27329904199377,2705.8813166551945
90,-3039.8337200000005,310.7030654328117,2729.1306545671905
91,-2502.9654800000003,509.7191018396993,1993.2463781602955
92,-1953.6095,672.7416062550677,1280.8678937449304
93,-1664.7274199999993,776.2367731887896,888.4906468112117
94,-1208.7721192340082,895.3851000000003,313.38701923401175
95,-1503.095782969121,1227.0029000000004,276.0928829691252
96,-2312.137189087757,1480.0000984385408,832.1370906492176
97,-3632.34314,1768.2560159433838,1864.0871240566157
98,-3528.8522399999997,1812.3255825823398,1716.5266574176585
99,-3555.9744800000008,1845.9047291431455,1710.0697508568567
100,-3731.3203399999998,1821.217718238569,1910.1026217614285
101,-3998.1495199999995,1746.4944865313078,2251.6550334686917
102,-2023.8502103462356,1193.4312088462325,830.4190014999996
103,-1669.9393199999988,820.4773734645096,849.4619465354915
104,-2366.00422,657.1683784826935,1708.8358415173134
105,-2332.782329967889,887.3265465538086,1445.4557834140803
106,-2879.299651222206,2715.7836502174864,163.5160010047169
107,-3979.215881601096,4173.095812820785,-193.87993121968842
108,-4956.800627656132,4971.602323684212,-14.801696028079107
109,-5056.407990690889,4851.134077185736,205.27391350515478
110,-3354.068520810268,3967.6088450739485,-613.5403242636717
111,-2740.0204454521713,2545.3371920943887,194.68325335778377
112,-2742.8016757575165,847.5501845582842,1895.251491199233
113,-3551.8697582018094,722.5602476600488,2829.3095105417633
114,-3396.43491004306,726.2857795430568,2670.1491304999995
115,-2982.8830999999977,579.7951395388018,2403.087960461203
116,-2454.6645999999996,619.8587728716108,1834.805827128391
117,-1984.3962600000002,704.5092671875987,1279.886992812401
118,-1592.6130800000003,779.6292357865179,812.9838442134849
119,-1131.5248184269922,989.0083000000001,142.51651842699545
120,-1210.4081673113028,1244.3075999999999,-33.899432688695015
121,-1251.4643226198928,1418.5242000000003,-167.0598773801085
122,-1205.7526570869934,1472.8516000000004,-267.0989429130048
123,-1216.3976673293846,1448.5713999999991,-232.17373267061512
124,-1244.1250481035322,1409.2160000000001,-165.09095189646888
125,-1253.9235569949021,1337.6477000000007,-83.72414300509931
126,-1225.5396534581655,1020.3516000000006,205.18805345816503
127,-1876.25928,756.7754867528724,1119.483793247128
128,-2492.6065799999997,651.3057882574026,1841.3007917425948
129,-2562.131139949402,831.5608106155312,1730.5703293338697
130,-3019.424333832645,2394.305198096997,625.1191357356505
131,-3789.19239751477,3468.7598484558484,320.43254905892115
132,-4341.98780980684,3815.9142122009584,526.0735976058876
133,-3507.705869710334,3286.124181709435,221.5816880008993
134,-2940.8854530733556,2424.6869485972134,516.1985044761404
135,-2835.335604312543,1301.775224506899,1533.5603798056432
136,-3075.3799643261646,593.6829672892518,2481.6969970369087
137,-3914.292014829231,558.165130578097,3356.126884251131
