Time Step,37->65,49->68,37->39,47->68,25->47,65->68,83->25,24->25,47->73,47->72,9->10,55->119,89->120
2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0
2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5115494131134142,0.0,0.0,0.0
2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.051177737711512,-9.094947017729282e-13,0.0,0.0
2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547569631919501,0.0,0.0,0.0
2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.10789567675684,0.0,0.0,0.0
2170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.376031755329365,0.0,0.0,-9.094947017729282e-13
2171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.410545923684879,0.0,-2.2737367544323206e-13,0.0
2172,2.7503711872054737,7.18000901620262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,2.8932038876865818,11.261734740040065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13
2174,5.4584820176689846,12.742157259716947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,4.880465556104696,4.178901525035528,0.0,0.0,0.9798820798386032,0.0,0.0,0.0,0.0,13.666773821214193,0.0,0.0,0.0
2176,4.497483936224512,0.9328062421566443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.158797583310403,0.0,2.2737367544323206e-13,-9.094947017729282e-13
2177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1452158008031,0.0,0.0,-9.094947017729282e-13
2178,0.0,0.6945831130192346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113291054177296,0.0,0.0,0.0
2179,0.0,1.2714179777763661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,0.0,2.3466160399181035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976659736500949,0.0,0.0,0.0
2181,0.0,3.0896221770454986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,0.0,1.3401882303089394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13
2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,0.0,0.0,0.0,0.0,1.8150512596308204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,0.0,0.0,0.0,0.0,1.75036778899738,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0
2186,0.0,0.0,0.0,0.0,2.8258699444223225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,0.0,0.0,0.0,0.0,5.462920424089305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,0.0,0.0,0.0,19.12625393061282,8.716517940909227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
